Model: gemma_7b-instruct
Dataset: ArXiv.json
Temperature: 0.1
Total inference time: 126800.29 seconds
Average inference time per article: 63.4 seconds
Inference times per article:
Article 1: 72.67 seconds
Article 2: 85.65 seconds
Article 3: 46.78 seconds
Article 4: 85.61 seconds
Article 5: 90.15 seconds
Article 6: 67.18 seconds
Article 7: 71.37 seconds
Article 8: 63.81 seconds
Article 9: 63.98 seconds
Article 10: 56.03 seconds
Article 11: 65.74 seconds
Article 12: 70.38 seconds
Article 13: 78.49 seconds
Article 14: 67.24 seconds
Article 15: 66.12 seconds
Article 16: 27.84 seconds
Article 17: 66.36 seconds
Article 18: 68.15 seconds
Article 19: 58.88 seconds
Article 20: 78.98 seconds
Article 21: 55.69 seconds
Article 22: 47.27 seconds
Article 23: 68.83 seconds
Article 24: 57.63 seconds
Article 25: 81.97 seconds
Article 26: 74.72 seconds
Article 27: 60.08 seconds
Article 28: 62.61 seconds
Article 29: 71.99 seconds
Article 30: 77.19 seconds
Article 31: 41.90 seconds
Article 32: 74.36 seconds
Article 33: 59.90 seconds
Article 34: 83.61 seconds
Article 35: 45.30 seconds
Article 36: 59.43 seconds
Article 37: 61.22 seconds
Article 38: 50.30 seconds
Article 39: 62.82 seconds
Article 40: 61.22 seconds
Article 41: 55.11 seconds
Article 42: 81.12 seconds
Article 43: 63.81 seconds
Article 44: 52.37 seconds
Article 45: 58.47 seconds
Article 46: 55.22 seconds
Article 47: 74.82 seconds
Article 48: 64.62 seconds
Article 49: 55.70 seconds
Article 50: 61.01 seconds
Article 51: 54.64 seconds
Article 52: 74.98 seconds
Article 53: 73.86 seconds
Article 54: 68.48 seconds
Article 55: 76.07 seconds
Article 56: 63.59 seconds
Article 57: 47.99 seconds
Article 58: 55.51 seconds
Article 59: 62.33 seconds
Article 60: 55.84 seconds
Article 61: 70.43 seconds
Article 62: 52.15 seconds
Article 63: 76.29 seconds
Article 64: 52.87 seconds
Article 65: 67.98 seconds
Article 66: 52.21 seconds
Article 67: 55.45 seconds
Article 68: 56.12 seconds
Article 69: 59.33 seconds
Article 70: 60.51 seconds
Article 71: 48.79 seconds
Article 72: 74.74 seconds
Article 73: 70.21 seconds
Article 74: 69.62 seconds
Article 75: 67.94 seconds
Article 76: 67.94 seconds
Article 77: 70.33 seconds
Article 78: 52.83 seconds
Article 79: 53.89 seconds
Article 80: 58.88 seconds
Article 81: 57.66 seconds
Article 82: 64.32 seconds
Article 83: 60.79 seconds
Article 84: 75.63 seconds
Article 85: 78.87 seconds
Article 86: 69.57 seconds
Article 87: 55.80 seconds
Article 88: 68.68 seconds
Article 89: 64.24 seconds
Article 90: 67.81 seconds
Article 91: 34.66 seconds
Article 92: 56.69 seconds
Article 93: 67.06 seconds
Article 94: 70.48 seconds
Article 95: 66.35 seconds
Article 96: 67.80 seconds
Article 97: 63.16 seconds
Article 98: 67.31 seconds
Article 99: 77.38 seconds
Article 100: 71.02 seconds
Article 101: 64.10 seconds
Article 102: 54.45 seconds
Article 103: 77.01 seconds
Article 104: 41.09 seconds
Article 105: 87.14 seconds
Article 106: 52.84 seconds
Article 107: 84.80 seconds
Article 108: 82.58 seconds
Article 109: 66.04 seconds
Article 110: 64.81 seconds
Article 111: 57.73 seconds
Article 112: 79.98 seconds
Article 113: 78.30 seconds
Article 114: 52.09 seconds
Article 115: 62.37 seconds
Article 116: 64.21 seconds
Article 117: 62.95 seconds
Article 118: 54.84 seconds
Article 119: 61.30 seconds
Article 120: 65.26 seconds
Article 121: 62.46 seconds
Article 122: 72.04 seconds
Article 123: 46.46 seconds
Article 124: 64.93 seconds
Article 125: 64.95 seconds
Article 126: 53.59 seconds
Article 127: 77.17 seconds
Article 128: 59.66 seconds
Article 129: 56.28 seconds
Article 130: 65.17 seconds
Article 131: 74.56 seconds
Article 132: 31.99 seconds
Article 133: 52.46 seconds
Article 134: 65.16 seconds
Article 135: 45.76 seconds
Article 136: 66.28 seconds
Article 137: 53.13 seconds
Article 138: 62.56 seconds
Article 139: 56.30 seconds
Article 140: 70.75 seconds
Article 141: 57.60 seconds
Article 142: 70.62 seconds
Article 143: 58.65 seconds
Article 144: 18.65 seconds
Article 145: 62.84 seconds
Article 146: 78.89 seconds
Article 147: 62.14 seconds
Article 148: 83.00 seconds
Article 149: 70.40 seconds
Article 150: 50.98 seconds
Article 151: 47.89 seconds
Article 152: 67.28 seconds
Article 153: 41.87 seconds
Article 154: 66.89 seconds
Article 155: 71.36 seconds
Article 156: 76.80 seconds
Article 157: 61.53 seconds
Article 158: 52.94 seconds
Article 159: 65.05 seconds
Article 160: 57.15 seconds
Article 161: 55.59 seconds
Article 162: 69.09 seconds
Article 163: 84.18 seconds
Article 164: 57.90 seconds
Article 165: 68.74 seconds
Article 166: 47.28 seconds
Article 167: 60.56 seconds
Article 168: 48.32 seconds
Article 169: 71.72 seconds
Article 170: 80.81 seconds
Article 171: 71.03 seconds
Article 172: 71.44 seconds
Article 173: 47.54 seconds
Article 174: 68.88 seconds
Article 175: 40.26 seconds
Article 176: 67.01 seconds
Article 177: 57.45 seconds
Article 178: 54.29 seconds
Article 179: 55.05 seconds
Article 180: 69.26 seconds
Article 181: 49.16 seconds
Article 182: 54.51 seconds
Article 183: 57.62 seconds
Article 184: 64.55 seconds
Article 185: 57.98 seconds
Article 186: 56.11 seconds
Article 187: 73.05 seconds
Article 188: 71.39 seconds
Article 189: 64.14 seconds
Article 190: 68.00 seconds
Article 191: 55.21 seconds
Article 192: 54.34 seconds
Article 193: 65.99 seconds
Article 194: 64.31 seconds
Article 195: 76.14 seconds
Article 196: 38.60 seconds
Article 197: 54.56 seconds
Article 198: 58.28 seconds
Article 199: 71.74 seconds
Article 200: 63.38 seconds
Article 201: 69.31 seconds
Article 202: 78.08 seconds
Article 203: 49.38 seconds
Article 204: 69.66 seconds
Article 205: 74.13 seconds
Article 206: 56.41 seconds
Article 207: 86.93 seconds
Article 208: 56.15 seconds
Article 209: 70.33 seconds
Article 210: 54.28 seconds
Article 211: 72.19 seconds
Article 212: 43.09 seconds
Article 213: 60.45 seconds
Article 214: 77.10 seconds
Article 215: 58.00 seconds
Article 216: 81.26 seconds
Article 217: 67.53 seconds
Article 218: 68.39 seconds
Article 219: 63.16 seconds
Article 220: 69.86 seconds
Article 221: 52.79 seconds
Article 222: 70.15 seconds
Article 223: 54.55 seconds
Article 224: 53.50 seconds
Article 225: 49.51 seconds
Article 226: 51.61 seconds
Article 227: 67.71 seconds
Article 228: 63.48 seconds
Article 229: 84.85 seconds
Article 230: 90.32 seconds
Article 231: 63.66 seconds
Article 232: 72.21 seconds
Article 233: 65.41 seconds
Article 234: 82.19 seconds
Article 235: 49.69 seconds
Article 236: 56.02 seconds
Article 237: 69.31 seconds
Article 238: 57.78 seconds
Article 239: 74.62 seconds
Article 240: 76.50 seconds
Article 241: 50.58 seconds
Article 242: 59.85 seconds
Article 243: 60.64 seconds
Article 244: 55.95 seconds
Article 245: 64.52 seconds
Article 246: 64.90 seconds
Article 247: 79.55 seconds
Article 248: 60.72 seconds
Article 249: 86.54 seconds
Article 250: 92.73 seconds
Article 251: 50.63 seconds
Article 252: 57.32 seconds
Article 253: 70.27 seconds
Article 254: 61.67 seconds
Article 255: 52.15 seconds
Article 256: 45.41 seconds
Article 257: 74.21 seconds
Article 258: 82.02 seconds
Article 259: 66.81 seconds
Article 260: 39.45 seconds
Article 261: 85.16 seconds
Article 262: 67.79 seconds
Article 263: 53.53 seconds
Article 264: 64.90 seconds
Article 265: 48.56 seconds
Article 266: 69.67 seconds
Article 267: 61.42 seconds
Article 268: 60.43 seconds
Article 269: 67.28 seconds
Article 270: 56.61 seconds
Article 271: 58.29 seconds
Article 272: 66.75 seconds
Article 273: 62.49 seconds
Article 274: 55.69 seconds
Article 275: 65.38 seconds
Article 276: 50.30 seconds
Article 277: 67.56 seconds
Article 278: 77.26 seconds
Article 279: 62.20 seconds
Article 280: 72.84 seconds
Article 281: 64.65 seconds
Article 282: 70.94 seconds
Article 283: 63.68 seconds
Article 284: 26.84 seconds
Article 285: 63.90 seconds
Article 286: 54.96 seconds
Article 287: 65.18 seconds
Article 288: 63.25 seconds
Article 289: 77.87 seconds
Article 290: 53.22 seconds
Article 291: 70.38 seconds
Article 292: 56.09 seconds
Article 293: 52.97 seconds
Article 294: 60.44 seconds
Article 295: 83.17 seconds
Article 296: 65.43 seconds
Article 297: 65.65 seconds
Article 298: 38.42 seconds
Article 299: 62.45 seconds
Article 300: 49.69 seconds
Article 301: 72.80 seconds
Article 302: 64.37 seconds
Article 303: 69.37 seconds
Article 304: 52.48 seconds
Article 305: 74.82 seconds
Article 306: 63.95 seconds
Article 307: 52.39 seconds
Article 308: 54.44 seconds
Article 309: 65.64 seconds
Article 310: 57.34 seconds
Article 311: 66.33 seconds
Article 312: 49.05 seconds
Article 313: 56.62 seconds
Article 314: 53.23 seconds
Article 315: 73.89 seconds
Article 316: 75.81 seconds
Article 317: 77.26 seconds
Article 318: 72.73 seconds
Article 319: 63.46 seconds
Article 320: 66.27 seconds
Article 321: 55.50 seconds
Article 322: 68.50 seconds
Article 323: 68.89 seconds
Article 324: 84.31 seconds
Article 325: 52.21 seconds
Article 326: 44.40 seconds
Article 327: 63.94 seconds
Article 328: 63.54 seconds
Article 329: 69.58 seconds
Article 330: 67.40 seconds
Article 331: 64.39 seconds
Article 332: 67.74 seconds
Article 333: 49.64 seconds
Article 334: 58.93 seconds
Article 335: 69.36 seconds
Article 336: 65.44 seconds
Article 337: 72.83 seconds
Article 338: 59.51 seconds
Article 339: 60.27 seconds
Article 340: 82.95 seconds
Article 341: 52.38 seconds
Article 342: 51.63 seconds
Article 343: 42.44 seconds
Article 344: 73.38 seconds
Article 345: 58.32 seconds
Article 346: 54.51 seconds
Article 347: 70.55 seconds
Article 348: 67.04 seconds
Article 349: 77.49 seconds
Article 350: 70.27 seconds
Article 351: 50.25 seconds
Article 352: 64.33 seconds
Article 353: 80.59 seconds
Article 354: 72.15 seconds
Article 355: 65.86 seconds
Article 356: 48.50 seconds
Article 357: 52.76 seconds
Article 358: 66.16 seconds
Article 359: 52.08 seconds
Article 360: 47.19 seconds
Article 361: 51.13 seconds
Article 362: 54.32 seconds
Article 363: 53.22 seconds
Article 364: 71.22 seconds
Article 365: 54.03 seconds
Article 366: 58.15 seconds
Article 367: 69.64 seconds
Article 368: 62.11 seconds
Article 369: 60.00 seconds
Article 370: 59.48 seconds
Article 371: 52.62 seconds
Article 372: 70.72 seconds
Article 373: 72.63 seconds
Article 374: 64.52 seconds
Article 375: 72.20 seconds
Article 376: 71.50 seconds
Article 377: 50.08 seconds
Article 378: 84.97 seconds
Article 379: 52.45 seconds
Article 380: 54.07 seconds
Article 381: 52.99 seconds
Article 382: 63.87 seconds
Article 383: 50.03 seconds
Article 384: 40.76 seconds
Article 385: 58.59 seconds
Article 386: 63.87 seconds
Article 387: 44.48 seconds
Article 388: 70.23 seconds
Article 389: 48.14 seconds
Article 390: 62.06 seconds
Article 391: 61.19 seconds
Article 392: 53.10 seconds
Article 393: 49.37 seconds
Article 394: 38.62 seconds
Article 395: 59.81 seconds
Article 396: 73.41 seconds
Article 397: 69.36 seconds
Article 398: 68.22 seconds
Article 399: 74.31 seconds
Article 400: 47.46 seconds
Article 401: 74.59 seconds
Article 402: 71.84 seconds
Article 403: 68.44 seconds
Article 404: 66.58 seconds
Article 405: 57.70 seconds
Article 406: 72.79 seconds
Article 407: 60.36 seconds
Article 408: 63.72 seconds
Article 409: 66.71 seconds
Article 410: 53.90 seconds
Article 411: 56.15 seconds
Article 412: 54.56 seconds
Article 413: 56.88 seconds
Article 414: 64.10 seconds
Article 415: 73.27 seconds
Article 416: 70.68 seconds
Article 417: 54.52 seconds
Article 418: 71.31 seconds
Article 419: 51.39 seconds
Article 420: 88.23 seconds
Article 421: 60.39 seconds
Article 422: 65.71 seconds
Article 423: 61.30 seconds
Article 424: 62.83 seconds
Article 425: 65.04 seconds
Article 426: 62.33 seconds
Article 427: 50.85 seconds
Article 428: 72.56 seconds
Article 429: 64.57 seconds
Article 430: 73.39 seconds
Article 431: 66.39 seconds
Article 432: 76.52 seconds
Article 433: 65.37 seconds
Article 434: 53.36 seconds
Article 435: 67.64 seconds
Article 436: 40.88 seconds
Article 437: 65.61 seconds
Article 438: 43.91 seconds
Article 439: 87.02 seconds
Article 440: 78.75 seconds
Article 441: 58.91 seconds
Article 442: 48.82 seconds
Article 443: 62.84 seconds
Article 444: 60.26 seconds
Article 445: 72.54 seconds
Article 446: 71.18 seconds
Article 447: 60.81 seconds
Article 448: 54.82 seconds
Article 449: 53.61 seconds
Article 450: 64.02 seconds
Article 451: 62.24 seconds
Article 452: 58.90 seconds
Article 453: 67.53 seconds
Article 454: 74.59 seconds
Article 455: 80.24 seconds
Article 456: 50.62 seconds
Article 457: 63.87 seconds
Article 458: 65.19 seconds
Article 459: 69.91 seconds
Article 460: 73.55 seconds
Article 461: 65.79 seconds
Article 462: 60.17 seconds
Article 463: 58.45 seconds
Article 464: 64.06 seconds
Article 465: 58.25 seconds
Article 466: 53.86 seconds
Article 467: 47.67 seconds
Article 468: 63.64 seconds
Article 469: 79.52 seconds
Article 470: 58.54 seconds
Article 471: 64.88 seconds
Article 472: 73.00 seconds
Article 473: 61.23 seconds
Article 474: 66.31 seconds
Article 475: 59.28 seconds
Article 476: 44.78 seconds
Article 477: 66.61 seconds
Article 478: 66.68 seconds
Article 479: 73.95 seconds
Article 480: 60.07 seconds
Article 481: 56.96 seconds
Article 482: 46.72 seconds
Article 483: 80.55 seconds
Article 484: 78.26 seconds
Article 485: 65.42 seconds
Article 486: 33.31 seconds
Article 487: 81.12 seconds
Article 488: 82.89 seconds
Article 489: 70.12 seconds
Article 490: 73.27 seconds
Article 491: 61.48 seconds
Article 492: 63.80 seconds
Article 493: 65.65 seconds
Article 494: 60.06 seconds
Article 495: 60.69 seconds
Article 496: 62.95 seconds
Article 497: 56.52 seconds
Article 498: 58.35 seconds
Article 499: 71.33 seconds
Article 500: 48.80 seconds
Article 501: 62.09 seconds
Article 502: 66.37 seconds
Article 503: 61.60 seconds
Article 504: 65.06 seconds
Article 505: 70.25 seconds
Article 506: 64.04 seconds
Article 507: 72.68 seconds
Article 508: 70.45 seconds
Article 509: 55.49 seconds
Article 510: 63.46 seconds
Article 511: 40.07 seconds
Article 512: 67.94 seconds
Article 513: 49.48 seconds
Article 514: 83.50 seconds
Article 515: 63.41 seconds
Article 516: 70.21 seconds
Article 517: 80.05 seconds
Article 518: 72.65 seconds
Article 519: 74.04 seconds
Article 520: 53.20 seconds
Article 521: 66.11 seconds
Article 522: 51.31 seconds
Article 523: 68.26 seconds
Article 524: 69.79 seconds
Article 525: 52.30 seconds
Article 526: 85.76 seconds
Article 527: 52.82 seconds
Article 528: 43.20 seconds
Article 529: 79.06 seconds
Article 530: 58.33 seconds
Article 531: 62.84 seconds
Article 532: 69.47 seconds
Article 533: 59.50 seconds
Article 534: 68.96 seconds
Article 535: 64.24 seconds
Article 536: 66.20 seconds
Article 537: 55.37 seconds
Article 538: 74.60 seconds
Article 539: 56.94 seconds
Article 540: 64.86 seconds
Article 541: 65.06 seconds
Article 542: 69.00 seconds
Article 543: 87.18 seconds
Article 544: 69.57 seconds
Article 545: 40.17 seconds
Article 546: 70.75 seconds
Article 547: 50.49 seconds
Article 548: 55.97 seconds
Article 549: 64.38 seconds
Article 550: 54.47 seconds
