Model: llama2:70b-chat
Dataset: ArXiv.json
Temperature: 0.1
Total inference time: 300810.28 seconds
Average inference time per article: 150.4 seconds
Inference times per article:
Article 1: 154.12 seconds
Article 2: 173.83 seconds
Article 3: 155.30 seconds
Article 4: 159.53 seconds
Article 5: 155.49 seconds
Article 6: 147.20 seconds
Article 7: 134.55 seconds
Article 8: 150.70 seconds
Article 9: 157.91 seconds
Article 10: 160.26 seconds
Article 11: 138.35 seconds
Article 12: 150.70 seconds
Article 13: 141.60 seconds
Article 14: 156.35 seconds
Article 15: 157.91 seconds
Article 16: 150.10 seconds
Article 17: 164.62 seconds
Article 18: 159.81 seconds
Article 19: 134.65 seconds
Article 20: 150.68 seconds
Article 21: 133.79 seconds
Article 22: 147.11 seconds
Article 23: 146.87 seconds
Article 24: 160.70 seconds
Article 25: 138.15 seconds
Article 26: 146.53 seconds
Article 27: 162.20 seconds
Article 28: 146.31 seconds
Article 29: 142.54 seconds
Article 30: 144.73 seconds
Article 31: 142.18 seconds
Article 32: 156.25 seconds
Article 33: 153.21 seconds
Article 34: 141.86 seconds
Article 35: 162.18 seconds
Article 36: 155.32 seconds
Article 37: 166.48 seconds
Article 38: 137.50 seconds
Article 39: 129.97 seconds
Article 40: 148.99 seconds
Article 41: 147.40 seconds
Article 42: 156.60 seconds
Article 43: 125.37 seconds
Article 44: 141.85 seconds
Article 45: 161.20 seconds
Article 46: 154.94 seconds
Article 47: 150.36 seconds
Article 48: 150.00 seconds
Article 49: 155.64 seconds
Article 50: 150.24 seconds
Article 51: 143.14 seconds
Article 52: 144.20 seconds
Article 53: 163.86 seconds
Article 54: 156.20 seconds
Article 55: 145.97 seconds
Article 56: 154.08 seconds
Article 57: 164.34 seconds
Article 58: 154.59 seconds
Article 59: 156.02 seconds
Article 60: 162.96 seconds
Article 61: 144.00 seconds
Article 62: 148.61 seconds
Article 63: 142.51 seconds
Article 64: 153.08 seconds
Article 65: 152.28 seconds
Article 66: 159.30 seconds
Article 67: 135.97 seconds
Article 68: 155.97 seconds
Article 69: 160.52 seconds
Article 70: 147.88 seconds
Article 71: 164.20 seconds
Article 72: 145.14 seconds
Article 73: 149.46 seconds
Article 74: 148.60 seconds
Article 75: 155.97 seconds
Article 76: 141.48 seconds
Article 77: 140.67 seconds
Article 78: 158.99 seconds
Article 79: 144.21 seconds
