Model: mistral_7b-instruct.txt
Dataset: ArXiv.json
Temperature: 0.1
Total inference time: 105354.19 seconds
Average inference time per article: 52.9 seconds
Inference times per article:
Article 1: 41.19 seconds
Article 2: 41.42 seconds
Article 3: 61.80 seconds
Article 4: 69.02 seconds
Article 5: 57.27 seconds
Article 6: 74.09 seconds
Article 7: 60.36 seconds
Article 8: 25.83 seconds
Article 9: 51.47 seconds
Article 10: 58.34 seconds
Article 11: 44.35 seconds
Article 12: 40.23 seconds
Article 13: 62.79 seconds
Article 14: 36.50 seconds
Article 15: 56.11 seconds
Article 16: 30.70 seconds
Article 17: 47.90 seconds
Article 18: 59.83 seconds
Article 19: 56.20 seconds
Article 20: 42.91 seconds
Article 21: 59.29 seconds
Article 22: 56.26 seconds
Article 23: 55.01 seconds
Article 24: 37.84 seconds
Article 25: 67.49 seconds
Article 26: 36.19 seconds
Article 27: 67.41 seconds
Article 28: 44.25 seconds
Article 29: 60.58 seconds
Article 30: 60.98 seconds
Article 31: 68.59 seconds
Article 32: 49.95 seconds
Article 33: 56.26 seconds
Article 34: 51.42 seconds
Article 35: 84.98 seconds
Article 36: 49.35 seconds
Article 37: 66.11 seconds
Article 38: 67.95 seconds
Article 39: 68.04 seconds
Article 40: 27.17 seconds
Article 41: 55.00 seconds
Article 42: 48.91 seconds
Article 43: 49.30 seconds
Article 44: 53.62 seconds
Article 45: 33.71 seconds
Article 46: 57.41 seconds
Article 47: 63.66 seconds
Article 48: 58.23 seconds
Article 49: 49.38 seconds
Article 50: 64.92 seconds
Article 51: 57.51 seconds
Article 52: 55.16 seconds
Article 53: 63.14 seconds
Article 54: 40.01 seconds
Article 55: 42.18 seconds
Article 56: 53.96 seconds
Article 57: 60.46 seconds
Article 58: 30.33 seconds
Article 59: 44.34 seconds
Article 60: 39.85 seconds
Article 61: 43.28 seconds
Article 62: 41.76 seconds
Article 63: 50.87 seconds
Article 64: 60.52 seconds
Article 65: 42.41 seconds
Article 66: 44.20 seconds
Article 67: 70.44 seconds
Article 68: 55.93 seconds
Article 69: 60.92 seconds
Article 70: 57.84 seconds
Article 71: 49.25 seconds
Article 72: 64.11 seconds
Article 73: 55.94 seconds
Article 74: 42.09 seconds
Article 75: 50.74 seconds
Article 76: 52.38 seconds
Article 77: 50.37 seconds
Article 78: 50.20 seconds
Article 79: 54.42 seconds
Article 80: 40.49 seconds
Article 81: 69.80 seconds
Article 82: 80.71 seconds
Article 83: 62.93 seconds
Article 84: 61.11 seconds
Article 85: 55.88 seconds
Article 86: 49.36 seconds
Article 87: 64.80 seconds
Article 88: 57.93 seconds
Article 89: 41.65 seconds
Article 90: 55.57 seconds
Article 91: 43.77 seconds
Article 92: 37.93 seconds
Article 93: 21.26 seconds
Article 94: 44.91 seconds
Article 95: 38.11 seconds
Article 96: 48.63 seconds
Article 97: 42.47 seconds
Article 98: 59.65 seconds
Article 99: 72.92 seconds
Article 100: 47.47 seconds
Article 101: 53.09 seconds
Article 102: 57.40 seconds
Article 103: 57.80 seconds
Article 104: 54.88 seconds
Article 105: 53.09 seconds
Article 106: 61.31 seconds
Article 107: 42.85 seconds
Article 108: 64.53 seconds
Article 109: 38.64 seconds
Article 110: 46.37 seconds
