Model: Mixtral-8x7B-Instruct
Dataset: Arxiv.json
Temperature: 0.1
Total inference time: 199987.98 seconds
Average inference time per article: 100.3 seconds
Inference times per article:
Article 1: 83.48 seconds
Article 2: 97.51 seconds
Article 3: 102.16 seconds
Article 4: 105.98 seconds
Article 5: 119.52 seconds
Article 6: 85.85 seconds
Article 7: 81.21 seconds
Article 8: 103.83 seconds
Article 9: 125.77 seconds
Article 10: 95.33 seconds
Article 11: 115.29 seconds
Article 12: 97.40 seconds
Article 13: 87.27 seconds
Article 14: 92.58 seconds
Article 15: 110.60 seconds
Article 16: 97.08 seconds
Article 17: 93.11 seconds
Article 18: 105.68 seconds
Article 19: 69.60 seconds
Article 20: 106.73 seconds
Article 21: 107.41 seconds
Article 22: 95.07 seconds
Article 23: 102.47 seconds
Article 24: 88.08 seconds
Article 25: 106.54 seconds
Article 26: 102.32 seconds
Article 27: 112.08 seconds
Article 28: 98.87 seconds
Article 29: 116.21 seconds
Article 30: 88.85 seconds
Article 31: 107.19 seconds
Article 32: 91.56 seconds
Article 33: 100.27 seconds
Article 34: 102.20 seconds
Article 35: 91.74 seconds
Article 36: 114.21 seconds
Article 37: 106.58 seconds
Article 38: 113.19 seconds
Article 39: 101.68 seconds
Article 40: 124.50 seconds
Article 41: 96.40 seconds
Article 42: 108.98 seconds
Article 43: 108.19 seconds
Article 44: 102.58 seconds
Article 45: 97.14 seconds
Article 46: 84.70 seconds
Article 47: 95.71 seconds
Article 48: 88.29 seconds
Article 49: 116.10 seconds
Article 50: 83.36 seconds
Article 51: 96.06 seconds
Article 52: 99.37 seconds
Article 53: 101.51 seconds
Article 54: 95.02 seconds
Article 55: 104.95 seconds
Article 56: 90.17 seconds
Article 57: 85.61 seconds
Article 58: 102.06 seconds
Article 59: 106.51 seconds
Article 60: 108.11 seconds
Article 61: 101.09 seconds
Article 62: 93.23 seconds
Article 63: 96.80 seconds
Article 64: 109.92 seconds
Article 65: 92.02 seconds
Article 66: 92.76 seconds
Article 67: 103.19 seconds
Article 68: 103.83 seconds
Article 69: 75.97 seconds
Article 70: 99.20 seconds
Article 71: 81.13 seconds
Article 72: 106.50 seconds
Article 73: 96.61 seconds
Article 74: 116.29 seconds
Article 75: 87.34 seconds
Article 76: 109.30 seconds
Article 77: 104.45 seconds
Article 78: 96.91 seconds
Article 79: 96.49 seconds
Article 80: 91.79 seconds
Article 81: 108.42 seconds
Article 82: 107.20 seconds
Article 83: 113.71 seconds
Article 84: 105.32 seconds
Article 85: 88.15 seconds
Article 86: 96.17 seconds
Article 87: 99.42 seconds
Article 88: 90.87 seconds
Article 89: 103.63 seconds
Article 90: 91.49 seconds
Article 91: 113.32 seconds
Article 92: 91.48 seconds
Article 93: 110.05 seconds
Article 94: 92.22 seconds
Article 95: 90.81 seconds
Article 96: 87.13 seconds
Article 97: 101.57 seconds
Article 98: 98.93 seconds
Article 99: 80.00 seconds
Article 100: 80.35 seconds
Article 101: 88.82 seconds
Article 102: 104.42 seconds
Article 103: 107.16 seconds
Article 104: 100.10 seconds
Article 105: 96.11 seconds
Article 106: 104.13 seconds
Article 107: 100.90 seconds
Article 108: 116.71 seconds
Article 109: 95.33 seconds
Article 110: 112.48 seconds
Article 111: 103.30 seconds
Article 112: 87.89 seconds
Article 113: 94.63 seconds
Article 114: 92.00 seconds
Article 115: 102.04 seconds
Article 116: 110.59 seconds
Article 117: 106.65 seconds
Article 118: 104.52 seconds
Article 119: 108.91 seconds
Article 120: 111.65 seconds
Article 121: 100.35 seconds
Article 122: 84.76 seconds
Article 123: 86.70 seconds
Article 124: 105.31 seconds
Article 125: 98.94 seconds
Article 126: 68.79 seconds
Article 127: 98.10 seconds
Article 128: 114.89 seconds
Article 129: 102.41 seconds
Article 130: 87.38 seconds
Article 131: 104.64 seconds
Article 132: 98.41 seconds
Article 133: 115.34 seconds
Article 134: 99.26 seconds
Article 135: 95.53 seconds
Article 136: 106.44 seconds
Article 137: 103.28 seconds
Article 138: 100.99 seconds
Article 139: 100.10 seconds
Article 140: 97.99 seconds
Article 141: 101.16 seconds
Article 142: 95.22 seconds
Article 143: 102.88 seconds
Article 144: 107.37 seconds
Article 145: 86.56 seconds
Article 146: 102.90 seconds
Article 147: 100.39 seconds
Article 148: 104.49 seconds
Article 149: 92.85 seconds
Article 150: 95.02 seconds
Article 151: 100.76 seconds
Article 152: 73.94 seconds
Article 153: 106.75 seconds
Article 154: 106.92 seconds
Article 155: 104.57 seconds
Article 156: 94.73 seconds
Article 157: 103.01 seconds
Article 158: 91.35 seconds
Article 159: 81.99 seconds
Article 160: 124.03 seconds
Article 161: 91.66 seconds
Article 162: 113.64 seconds
Article 163: 95.09 seconds
Article 164: 100.33 seconds
Article 165: 98.05 seconds
Article 166: 101.34 seconds
Article 167: 104.64 seconds
Article 168: 95.01 seconds
Article 169: 109.10 seconds
Article 170: 114.36 seconds
Article 171: 109.55 seconds
Article 172: 113.86 seconds
Article 173: 91.25 seconds
Article 174: 103.58 seconds
Article 175: 116.49 seconds
Article 176: 94.95 seconds
Article 177: 90.64 seconds
Article 178: 85.46 seconds
Article 179: 90.70 seconds
Article 180: 119.49 seconds
Article 181: 95.95 seconds
Article 182: 106.42 seconds
Article 183: 90.35 seconds
Article 184: 92.48 seconds
Article 185: 101.38 seconds
Article 186: 91.56 seconds
Article 187: 96.90 seconds
Article 188: 105.75 seconds
Article 189: 106.28 seconds
Article 190: 91.14 seconds
Article 191: 105.16 seconds
Article 192: 92.75 seconds
Article 193: 102.37 seconds
Article 194: 106.52 seconds
Article 195: 95.43 seconds
Article 196: 120.58 seconds
Article 197: 109.29 seconds
Article 198: 93.88 seconds
Article 199: 101.62 seconds
Article 200: 83.44 seconds
Article 201: 86.23 seconds
Article 202: 112.70 seconds
Article 203: 84.97 seconds
Article 204: 77.78 seconds
Article 205: 98.80 seconds
Article 206: 111.64 seconds
Article 207: 123.99 seconds
Article 208: 119.55 seconds
Article 209: 96.84 seconds
Article 210: 117.11 seconds
Article 211: 126.54 seconds
Article 212: 109.00 seconds
Article 213: 95.57 seconds
Article 214: 110.45 seconds
Article 215: 79.90 seconds
Article 216: 94.47 seconds
Article 217: 105.84 seconds
Article 218: 85.92 seconds
Article 219: 83.84 seconds
Article 220: 110.01 seconds
Article 221: 101.51 seconds
Article 222: 100.83 seconds
Article 223: 88.45 seconds
Article 224: 100.10 seconds
Article 225: 99.86 seconds
Article 226: 114.46 seconds
Article 227: 85.32 seconds
Article 228: 109.42 seconds
Article 229: 101.28 seconds
Article 230: 84.27 seconds
Article 231: 111.17 seconds
Article 232: 101.21 seconds
Article 233: 86.60 seconds
Article 234: 102.25 seconds
Article 235: 96.35 seconds
Article 236: 106.34 seconds
Article 237: 93.76 seconds
Article 238: 115.89 seconds
Article 239: 106.24 seconds
Article 240: 117.18 seconds
Article 241: 97.11 seconds
Article 242: 88.41 seconds
Article 243: 101.80 seconds
Article 244: 87.40 seconds
Article 245: 97.97 seconds
Article 246: 99.06 seconds
Article 247: 96.77 seconds
Article 248: 115.61 seconds
Article 249: 85.89 seconds
Article 250: 87.25 seconds
Article 251: 91.34 seconds
Article 252: 97.73 seconds
Article 253: 78.03 seconds
Article 254: 106.56 seconds
Article 255: 103.17 seconds
Article 256: 85.96 seconds
Article 257: 106.87 seconds
Article 258: 94.07 seconds
Article 259: 96.88 seconds
Article 260: 108.71 seconds
Article 261: 97.20 seconds
Article 262: 101.76 seconds
Article 263: 103.25 seconds
Article 264: 106.79 seconds
Article 265: 105.18 seconds
Article 266: 110.13 seconds
Article 267: 118.29 seconds
Article 268: 97.01 seconds
Article 269: 95.68 seconds
Article 270: 102.42 seconds
Article 271: 98.02 seconds
Article 272: 93.47 seconds
Article 273: 99.59 seconds
Article 274: 87.73 seconds
Article 275: 107.63 seconds
Article 276: 104.24 seconds
Article 277: 105.22 seconds
Article 278: 86.60 seconds
Article 279: 125.39 seconds
Article 280: 96.24 seconds
Article 281: 98.73 seconds
Article 282: 104.68 seconds
Article 283: 95.39 seconds
Article 284: 83.49 seconds
Article 285: 112.12 seconds
Article 286: 98.23 seconds
Article 287: 106.94 seconds
Article 288: 97.65 seconds
Article 289: 104.74 seconds
Article 290: 104.01 seconds
Article 291: 113.09 seconds
Article 292: 91.12 seconds
Article 293: 103.14 seconds
Article 294: 90.58 seconds
Article 295: 80.78 seconds
Article 296: 99.35 seconds
Article 297: 91.34 seconds
Article 298: 108.06 seconds
Article 299: 97.68 seconds
Article 300: 105.62 seconds
Article 301: 112.02 seconds
Article 302: 85.04 seconds
Article 303: 87.74 seconds
Article 304: 107.47 seconds
Article 305: 100.16 seconds
Article 306: 81.90 seconds
Article 307: 99.87 seconds
Article 308: 77.50 seconds
Article 309: 110.73 seconds
Article 310: 115.03 seconds
Article 311: 88.48 seconds
Article 312: 113.49 seconds
Article 313: 116.11 seconds
Article 314: 92.27 seconds
Article 315: 106.96 seconds
Article 316: 108.82 seconds
Article 317: 109.44 seconds
Article 318: 99.74 seconds
Article 319: 57.07 seconds
Article 320: 111.28 seconds
Article 321: 118.66 seconds
Article 322: 99.79 seconds
Article 323: 105.68 seconds
Article 324: 103.66 seconds
Article 325: 104.30 seconds
Article 326: 107.55 seconds
Article 327: 84.67 seconds
Article 328: 83.39 seconds
Article 329: 114.10 seconds
Article 330: 97.08 seconds
Article 331: 89.82 seconds
Article 332: 99.29 seconds
Article 333: 86.53 seconds
Article 334: 96.77 seconds
Article 335: 89.28 seconds
Article 336: 106.05 seconds
Article 337: 96.30 seconds
Article 338: 108.52 seconds
Article 339: 96.69 seconds
Article 340: 103.86 seconds
Article 341: 94.78 seconds
Article 342: 90.02 seconds
Article 343: 96.92 seconds
