Model: gemma_7b-instruct
Dataset: CNNDM.json
Temperature: 0.1
Total inference time: 42554.37 seconds
Average inference time per article: 21.1 seconds
Inference times per article:
Article 1: 34.04 seconds
Article 2: 9.89 seconds
Article 3: 9.48 seconds
Article 4: 24.20 seconds
Article 5: 21.54 seconds
Article 6: 24.31 seconds
Article 7: 18.09 seconds
Article 8: 31.11 seconds
Article 9: 25.58 seconds
Article 10: 25.71 seconds
Article 11: 29.72 seconds
Article 12: 21.15 seconds
Article 13: 29.86 seconds
Article 14: 12.18 seconds
Article 15: 7.08 seconds
Article 16: 38.20 seconds
Article 17: 16.48 seconds
Article 18: 53.08 seconds
Article 19: 25.54 seconds
Article 20: 28.02 seconds
Article 21: 26.57 seconds
Article 22: 50.49 seconds
Article 23: 41.62 seconds
Article 24: 16.38 seconds
Article 25: 23.18 seconds
Article 26: 17.25 seconds
Article 27: 6.53 seconds
Article 28: 19.66 seconds
Article 29: 4.24 seconds
Article 30: 22.69 seconds
Article 31: 25.77 seconds
Article 32: 28.14 seconds
Article 33: 29.12 seconds
Article 34: 23.84 seconds
Article 35: 23.15 seconds
Article 36: 35.97 seconds
Article 37: 21.40 seconds
Article 38: 40.15 seconds
Article 39: 27.99 seconds
Article 40: 23.99 seconds
Article 41: 11.01 seconds
Article 42: 4.19 seconds
Article 43: 9.25 seconds
Article 44: 36.41 seconds
Article 45: 31.30 seconds
Article 46: 29.74 seconds
Article 47: 3.21 seconds
Article 48: 21.49 seconds
Article 49: 31.69 seconds
Article 50: 22.54 seconds
Article 51: 16.59 seconds
Article 52: 25.02 seconds
Article 53: 35.64 seconds
Article 54: 13.90 seconds
Article 55: 9.33 seconds
Article 56: 16.53 seconds
Article 57: 13.60 seconds
Article 58: 33.06 seconds
Article 59: 22.72 seconds
Article 60: 4.29 seconds
Article 61: 18.00 seconds
Article 62: 21.53 seconds
Article 63: 31.74 seconds
Article 64: 17.60 seconds
Article 65: 13.00 seconds
Article 66: 53.35 seconds
Article 67: 9.28 seconds
Article 68: 21.44 seconds
Article 69: 26.45 seconds
Article 70: 10.49 seconds
Article 71: 17.67 seconds
Article 72: 25.86 seconds
Article 73: 12.89 seconds
Article 74: 21.52 seconds
Article 75: 9.31 seconds
Article 76: 26.55 seconds
Article 77: 29.79 seconds
Article 78: 37.88 seconds
Article 79: 22.72 seconds
Article 80: 32.74 seconds
Article 81: 0.50 seconds
Article 82: 26.64 seconds
Article 83: 9.00 seconds
Article 84: 2.35 seconds
Article 85: 26.24 seconds
Article 86: 33.79 seconds
Article 87: 13.94 seconds
Article 88: 4.45 seconds
Article 89: 13.51 seconds
Article 90: 24.72 seconds
Article 91: 21.40 seconds
Article 92: 24.71 seconds
Article 93: 6.47 seconds
Article 94: 0.00 seconds
Article 95: 28.33 seconds
Article 96: 49.69 seconds
Article 97: 29.32 seconds
Article 98: 16.89 seconds
Article 99: 25.87 seconds
Article 100: 14.60 seconds
Article 101: 20.58 seconds
Article 102: 27.07 seconds
Article 103: 35.23 seconds
Article 104: 28.55 seconds
Article 105: 21.99 seconds
Article 106: 20.31 seconds
Article 107: 15.88 seconds
Article 108: 14.15 seconds
Article 109: 19.89 seconds
Article 110: 30.76 seconds
Article 111: 16.20 seconds
Article 112: 30.60 seconds
Article 113: 21.24 seconds
Article 114: 25.54 seconds
Article 115: 26.59 seconds
Article 116: 18.15 seconds
Article 117: 38.41 seconds
Article 118: 34.75 seconds
Article 119: 17.57 seconds
Article 120: 35.03 seconds
Article 121: 2.28 seconds
Article 122: 22.20 seconds
Article 123: 18.27 seconds
Article 124: 29.39 seconds
Article 125: 22.44 seconds
Article 126: 25.76 seconds
Article 127: 33.04 seconds
Article 128: 40.19 seconds
Article 129: 25.98 seconds
Article 130: 31.08 seconds
Article 131: 17.09 seconds
Article 132: 20.70 seconds
Article 133: 18.32 seconds
Article 134: 10.05 seconds
Article 135: 11.68 seconds
Article 136: 37.10 seconds
Article 137: 35.01 seconds
Article 138: 29.56 seconds
Article 139: 27.67 seconds
Article 140: 16.33 seconds
Article 141: 13.49 seconds
Article 142: 14.58 seconds
Article 143: 13.75 seconds
Article 144: 15.02 seconds
Article 145: 4.20 seconds
Article 146: 30.87 seconds
Article 147: 20.14 seconds
Article 148: 26.79 seconds
Article 149: 10.00 seconds
Article 150: 34.07 seconds
Article 151: 16.53 seconds
Article 152: 19.61 seconds
Article 153: 44.32 seconds
Article 154: 10.99 seconds
Article 155: 45.76 seconds
Article 156: 23.94 seconds
Article 157: 46.42 seconds
Article 158: 33.20 seconds
Article 159: 22.45 seconds
Article 160: 25.36 seconds
Article 161: 5.03 seconds
Article 162: 23.48 seconds
Article 163: 10.59 seconds
Article 164: 0.00 seconds
Article 165: 32.38 seconds
Article 166: 36.29 seconds
Article 167: 26.25 seconds
Article 168: 16.96 seconds
Article 169: 17.21 seconds
Article 170: 18.77 seconds
Article 171: 11.55 seconds
Article 172: 33.47 seconds
Article 173: 30.34 seconds
Article 174: 15.99 seconds
Article 175: 25.94 seconds
Article 176: 12.52 seconds
Article 177: 18.52 seconds
Article 178: 28.32 seconds
Article 179: 37.02 seconds
Article 180: 16.30 seconds
Article 181: 20.50 seconds
Article 182: 35.38 seconds
Article 183: 25.16 seconds
Article 184: 19.75 seconds
Article 185: 30.94 seconds
Article 186: 23.27 seconds
Article 187: 35.16 seconds
Article 188: 39.08 seconds
Article 189: 33.95 seconds
Article 190: 27.78 seconds
Article 191: 8.57 seconds
Article 192: 18.89 seconds
Article 193: 13.82 seconds
Article 194: 11.86 seconds
Article 195: 31.17 seconds
Article 196: 36.86 seconds
Article 197: 28.26 seconds
Article 198: 30.66 seconds
Article 199: 22.74 seconds
Article 200: 38.98 seconds
Article 201: 23.67 seconds
Article 202: 27.02 seconds
Article 203: 6.69 seconds
Article 204: 25.16 seconds
