Model: llama2:13b-chat
Dataset: CNNDM.json
Temperature: 0.1
Total inference time: 52481.90 seconds
Average inference time per article: 25.7 seconds
Inference times per article:
Article 1: 18.72 seconds
Article 2: 46.03 seconds
Article 3: 30.99 seconds
Article 4: 40.84 seconds
Article 5: 39.71 seconds
Article 6: 29.09 seconds
Article 7: 32.67 seconds
Article 8: 22.92 seconds
Article 9: 14.03 seconds
Article 10: 19.31 seconds
Article 11: 17.53 seconds
Article 12: 20.36 seconds
Article 13: 17.34 seconds
Article 14: 11.57 seconds
Article 15: 33.10 seconds
Article 16: 20.24 seconds
Article 17: 32.70 seconds
Article 18: 25.42 seconds
Article 19: 32.46 seconds
Article 20: 21.04 seconds
Article 21: 30.82 seconds
Article 22: 18.47 seconds
Article 23: 29.88 seconds
Article 24: 18.91 seconds
Article 25: 29.26 seconds
Article 26: 45.09 seconds
Article 27: 32.23 seconds
Article 28: 25.27 seconds
Article 29: 23.48 seconds
Article 30: 25.27 seconds
Article 31: 21.09 seconds
Article 32: 34.70 seconds
Article 33: 31.19 seconds
Article 34: 29.95 seconds
Article 35: 16.49 seconds
Article 36: 21.57 seconds
Article 37: 32.73 seconds
Article 38: 23.52 seconds
Article 39: 37.42 seconds
Article 40: 7.86 seconds
Article 41: 28.00 seconds
Article 42: 36.42 seconds
Article 43: 28.95 seconds
Article 44: 11.63 seconds
Article 45: 35.44 seconds
Article 46: 42.41 seconds
Article 47: 19.53 seconds
Article 48: 33.02 seconds
Article 49: 29.38 seconds
Article 50: 36.34 seconds
Article 51: 33.94 seconds
Article 52: 31.81 seconds
Article 53: 25.12 seconds
Article 54: 33.72 seconds
Article 55: 29.21 seconds
Article 56: 25.54 seconds
Article 57: 37.34 seconds
Article 58: 19.16 seconds
Article 59: 28.88 seconds
Article 60: 38.62 seconds
Article 61: 34.55 seconds
Article 62: 17.71 seconds
Article 63: 14.86 seconds
Article 64: 8.48 seconds
Article 65: 12.13 seconds
Article 66: 7.30 seconds
Article 67: 20.49 seconds
Article 68: 30.32 seconds
