Model: mistral_7b-instruct.txt
Dataset: CNNDM.json
Temperature: 0.1
Total inference time: 37201.88 seconds
Average inference time per article: 17.9 seconds
Inference times per article:
Article 1: 15.30 seconds
Article 2: 8.16 seconds
Article 3: 34.42 seconds
Article 4: 25.47 seconds
Article 5: 6.99 seconds
Article 6: 39.49 seconds
Article 7: 19.62 seconds
Article 8: 3.98 seconds
Article 9: 35.13 seconds
Article 10: 28.84 seconds
Article 11: 19.42 seconds
Article 12: 6.36 seconds
Article 13: 27.32 seconds
Article 14: 0.00 seconds
Article 15: 11.06 seconds
Article 16: 19.55 seconds
Article 17: 13.87 seconds
Article 18: 13.16 seconds
Article 19: 29.68 seconds
Article 20: 20.03 seconds
Article 21: 40.29 seconds
Article 22: 25.32 seconds
Article 23: 32.69 seconds
Article 24: 23.90 seconds
Article 25: 50.38 seconds
Article 26: 5.82 seconds
Article 27: 22.44 seconds
Article 28: 17.31 seconds
Article 29: 21.60 seconds
Article 30: 19.39 seconds
Article 31: 4.09 seconds
Article 32: 32.53 seconds
Article 33: 21.70 seconds
Article 34: 0.00 seconds
Article 35: 10.39 seconds
Article 36: 31.93 seconds
Article 37: 14.82 seconds
Article 38: 27.82 seconds
Article 39: 20.50 seconds
Article 40: 14.56 seconds
Article 41: 15.35 seconds
Article 42: 17.11 seconds
Article 43: 14.02 seconds
Article 44: 22.12 seconds
Article 45: 17.64 seconds
Article 46: 28.53 seconds
Article 47: 14.62 seconds
Article 48: 5.74 seconds
Article 49: 12.52 seconds
Article 50: 8.72 seconds
Article 51: 32.10 seconds
Article 52: 12.69 seconds
Article 53: 26.11 seconds
Article 54: 10.03 seconds
Article 55: 28.74 seconds
Article 56: 29.20 seconds
Article 57: 28.89 seconds
Article 58: 23.18 seconds
Article 59: 30.86 seconds
Article 60: 23.07 seconds
Article 61: 25.60 seconds
Article 62: 17.26 seconds
Article 63: 6.95 seconds
Article 64: 23.31 seconds
Article 65: 13.49 seconds
Article 66: 18.54 seconds
