Model: Mixtral-8x7B-Instruct
Dataset: CNNDM.json
Temperature: 0.1
Total inference time: 63261.63 seconds
Average inference time per article: 31.5 seconds
Inference times per article:
Article 1: 31.76 seconds
Article 2: 16.54 seconds
Article 3: 21.26 seconds
Article 4: 41.90 seconds
Article 5: 26.14 seconds
Article 6: 20.54 seconds
Article 7: 33.08 seconds
Article 8: 34.81 seconds
Article 9: 30.18 seconds
Article 10: 42.77 seconds
Article 11: 22.61 seconds
Article 12: 44.20 seconds
Article 13: 36.78 seconds
Article 14: 39.57 seconds
Article 15: 23.12 seconds
Article 16: 49.71 seconds
Article 17: 38.20 seconds
Article 18: 28.49 seconds
Article 19: 42.09 seconds
Article 20: 21.61 seconds
Article 21: 25.99 seconds
Article 22: 35.54 seconds
Article 23: 41.30 seconds
Article 24: 32.69 seconds
Article 25: 9.89 seconds
Article 26: 14.86 seconds
Article 27: 46.81 seconds
Article 28: 50.17 seconds
Article 29: 55.03 seconds
Article 30: 29.43 seconds
Article 31: 44.92 seconds
Article 32: 34.83 seconds
Article 33: 34.79 seconds
Article 34: 40.94 seconds
Article 35: 37.96 seconds
Article 36: 45.19 seconds
Article 37: 14.56 seconds
Article 38: 52.11 seconds
Article 39: 20.04 seconds
Article 40: 25.45 seconds
Article 41: 27.73 seconds
Article 42: 28.62 seconds
Article 43: 28.99 seconds
Article 44: 18.33 seconds
Article 45: 23.05 seconds
Article 46: 26.88 seconds
Article 47: 22.68 seconds
Article 48: 19.27 seconds
Article 49: 32.02 seconds
Article 50: 41.70 seconds
Article 51: 15.18 seconds
Article 52: 25.53 seconds
Article 53: 48.13 seconds
Article 54: 22.35 seconds
Article 55: 31.58 seconds
Article 56: 31.89 seconds
Article 57: 14.26 seconds
Article 58: 25.89 seconds
Article 59: 28.89 seconds
Article 60: 32.57 seconds
Article 61: 21.39 seconds
Article 62: 19.90 seconds
Article 63: 30.99 seconds
Article 64: 28.76 seconds
Article 65: 25.47 seconds
Article 66: 8.07 seconds
Article 67: 30.28 seconds
Article 68: 33.95 seconds
Article 69: 32.83 seconds
Article 70: 26.83 seconds
Article 71: 30.02 seconds
Article 72: 33.24 seconds
Article 73: 33.57 seconds
Article 74: 16.13 seconds
Article 75: 36.58 seconds
Article 76: 25.07 seconds
Article 77: 34.38 seconds
Article 78: 25.18 seconds
Article 79: 35.36 seconds
Article 80: 20.01 seconds
Article 81: 39.74 seconds
Article 82: 20.71 seconds
Article 83: 28.80 seconds
Article 84: 37.84 seconds
Article 85: 24.18 seconds
Article 86: 27.54 seconds
Article 87: 27.94 seconds
Article 88: 33.07 seconds
Article 89: 30.05 seconds
Article 90: 34.17 seconds
Article 91: 50.34 seconds
Article 92: 33.07 seconds
Article 93: 27.22 seconds
Article 94: 21.18 seconds
Article 95: 29.98 seconds
Article 96: 35.38 seconds
Article 97: 37.38 seconds
Article 98: 28.62 seconds
Article 99: 24.76 seconds
Article 100: 36.29 seconds
Article 101: 35.01 seconds
Article 102: 27.76 seconds
Article 103: 31.80 seconds
Article 104: 37.88 seconds
Article 105: 23.40 seconds
Article 106: 1.96 seconds
Article 107: 35.49 seconds
Article 108: 45.48 seconds
Article 109: 42.81 seconds
Article 110: 16.00 seconds
Article 111: 44.33 seconds
Article 112: 28.80 seconds
Article 113: 21.48 seconds
Article 114: 24.84 seconds
Article 115: 36.68 seconds
Article 116: 35.43 seconds
Article 117: 23.26 seconds
Article 118: 27.30 seconds
Article 119: 16.91 seconds
Article 120: 26.70 seconds
Article 121: 15.27 seconds
Article 122: 37.95 seconds
Article 123: 36.21 seconds
Article 124: 50.66 seconds
Article 125: 28.48 seconds
Article 126: 51.71 seconds
Article 127: 39.72 seconds
Article 128: 20.31 seconds
Article 129: 34.60 seconds
Article 130: 36.64 seconds
Article 131: 46.71 seconds
Article 132: 37.92 seconds
Article 133: 35.06 seconds
Article 134: 36.21 seconds
Article 135: 25.93 seconds
Article 136: 29.77 seconds
Article 137: 31.36 seconds
Article 138: 11.86 seconds
Article 139: 23.09 seconds
Article 140: 13.76 seconds
Article 141: 36.58 seconds
Article 142: 38.47 seconds
Article 143: 25.30 seconds
Article 144: 30.48 seconds
Article 145: 39.42 seconds
Article 146: 31.13 seconds
Article 147: 55.53 seconds
Article 148: 33.40 seconds
Article 149: 35.79 seconds
Article 150: 24.97 seconds
Article 151: 30.48 seconds
Article 152: 28.04 seconds
Article 153: 30.69 seconds
Article 154: 10.64 seconds
Article 155: 29.40 seconds
Article 156: 41.29 seconds
Article 157: 21.44 seconds
Article 158: 27.13 seconds
Article 159: 25.82 seconds
Article 160: 26.70 seconds
Article 161: 26.15 seconds
Article 162: 44.33 seconds
Article 163: 51.87 seconds
Article 164: 32.50 seconds
Article 165: 30.41 seconds
Article 166: 35.03 seconds
Article 167: 54.30 seconds
Article 168: 18.94 seconds
Article 169: 26.27 seconds
Article 170: 47.33 seconds
Article 171: 43.26 seconds
Article 172: 30.75 seconds
Article 173: 25.86 seconds
Article 174: 36.56 seconds
Article 175: 37.03 seconds
Article 176: 31.25 seconds
Article 177: 32.48 seconds
Article 178: 15.72 seconds
Article 179: 12.73 seconds
Article 180: 30.88 seconds
Article 181: 32.79 seconds
Article 182: 51.62 seconds
Article 183: 34.58 seconds
Article 184: 42.97 seconds
Article 185: 15.32 seconds
Article 186: 20.46 seconds
Article 187: 20.13 seconds
Article 188: 43.51 seconds
Article 189: 23.47 seconds
Article 190: 36.35 seconds
Article 191: 37.81 seconds
Article 192: 50.28 seconds
Article 193: 34.44 seconds
Article 194: 28.95 seconds
Article 195: 40.07 seconds
Article 196: 17.95 seconds
Article 197: 12.86 seconds
Article 198: 21.67 seconds
Article 199: 42.02 seconds
Article 200: 23.38 seconds
Article 201: 16.37 seconds
Article 202: 17.93 seconds
Article 203: 46.89 seconds
Article 204: 40.16 seconds
Article 205: 37.45 seconds
Article 206: 12.93 seconds
Article 207: 16.56 seconds
Article 208: 48.76 seconds
Article 209: 37.36 seconds
Article 210: 35.46 seconds
Article 211: 41.41 seconds
Article 212: 23.39 seconds
Article 213: 41.85 seconds
Article 214: 18.54 seconds
Article 215: 32.40 seconds
Article 216: 45.52 seconds
Article 217: 38.39 seconds
Article 218: 46.82 seconds
Article 219: 25.14 seconds
Article 220: 38.01 seconds
Article 221: 43.51 seconds
Article 222: 33.09 seconds
Article 223: 41.79 seconds
Article 224: 30.81 seconds
Article 225: 33.22 seconds
Article 226: 35.93 seconds
Article 227: 30.96 seconds
Article 228: 39.80 seconds
Article 229: 35.81 seconds
Article 230: 34.46 seconds
Article 231: 23.54 seconds
Article 232: 19.01 seconds
Article 233: 22.28 seconds
Article 234: 32.43 seconds
Article 235: 31.26 seconds
Article 236: 25.77 seconds
Article 237: 51.26 seconds
Article 238: 20.45 seconds
Article 239: 40.80 seconds
Article 240: 53.31 seconds
Article 241: 19.21 seconds
Article 242: 27.32 seconds
Article 243: 34.60 seconds
Article 244: 29.04 seconds
Article 245: 18.73 seconds
Article 246: 33.28 seconds
Article 247: 27.03 seconds
Article 248: 41.10 seconds
Article 249: 45.26 seconds
Article 250: 15.50 seconds
Article 251: 30.57 seconds
Article 252: 11.10 seconds
Article 253: 37.17 seconds
Article 254: 31.09 seconds
Article 255: 11.46 seconds
Article 256: 19.18 seconds
Article 257: 20.08 seconds
Article 258: 41.00 seconds
Article 259: 29.72 seconds
Article 260: 16.89 seconds
Article 261: 28.60 seconds
Article 262: 33.48 seconds
Article 263: 19.39 seconds
Article 264: 14.91 seconds
Article 265: 29.05 seconds
Article 266: 22.61 seconds
Article 267: 42.14 seconds
Article 268: 27.54 seconds
Article 269: 46.27 seconds
Article 270: 42.40 seconds
Article 271: 55.04 seconds
Article 272: 46.10 seconds
