Model: gemma_7b-instruct
Dataset: NewsRoom.json
Temperature: 0.1
Total inference time: 47553.49 seconds
Average inference time per article: 23.8 seconds
Inference times per article:
Article 1: 25.81 seconds
Article 2: 8.75 seconds
Article 3: 28.31 seconds
Article 4: 35.70 seconds
Article 5: 28.55 seconds
Article 6: 19.53 seconds
Article 7: 15.89 seconds
Article 8: 22.20 seconds
Article 9: 8.48 seconds
Article 10: 15.32 seconds
Article 11: 22.72 seconds
Article 12: 22.45 seconds
Article 13: 21.50 seconds
Article 14: 11.96 seconds
Article 15: 32.91 seconds
Article 16: 17.93 seconds
Article 17: 18.16 seconds
Article 18: 23.65 seconds
Article 19: 9.94 seconds
Article 20: 18.11 seconds
Article 21: 53.75 seconds
Article 22: 22.08 seconds
Article 23: 15.48 seconds
Article 24: 27.16 seconds
Article 25: 31.27 seconds
Article 26: 21.27 seconds
Article 27: 11.18 seconds
Article 28: 27.84 seconds
Article 29: 17.24 seconds
Article 30: 21.04 seconds
Article 31: 20.56 seconds
Article 32: 28.95 seconds
Article 33: 16.89 seconds
Article 34: 29.09 seconds
Article 35: 20.98 seconds
Article 36: 0.00 seconds
Article 37: 24.19 seconds
Article 38: 12.78 seconds
Article 39: 40.29 seconds
Article 40: 22.93 seconds
Article 41: 35.22 seconds
Article 42: 11.38 seconds
Article 43: 38.56 seconds
Article 44: 13.14 seconds
Article 45: 15.34 seconds
Article 46: 7.16 seconds
Article 47: 22.61 seconds
Article 48: 23.80 seconds
Article 49: 36.75 seconds
Article 50: 25.94 seconds
Article 51: 25.64 seconds
Article 52: 23.91 seconds
Article 53: 16.18 seconds
Article 54: 20.94 seconds
Article 55: 33.77 seconds
Article 56: 27.32 seconds
Article 57: 29.39 seconds
Article 58: 25.93 seconds
Article 59: 24.74 seconds
Article 60: 24.98 seconds
Article 61: 10.60 seconds
Article 62: 26.00 seconds
Article 63: 15.18 seconds
Article 64: 20.38 seconds
Article 65: 15.91 seconds
Article 66: 23.28 seconds
Article 67: 28.52 seconds
Article 68: 31.19 seconds
Article 69: 18.68 seconds
Article 70: 24.10 seconds
Article 71: 15.94 seconds
Article 72: 14.73 seconds
Article 73: 4.54 seconds
Article 74: 23.34 seconds
Article 75: 27.41 seconds
Article 76: 29.24 seconds
Article 77: 26.91 seconds
Article 78: 9.73 seconds
Article 79: 9.36 seconds
Article 80: 18.57 seconds
Article 81: 17.38 seconds
Article 82: 24.15 seconds
Article 83: 0.69 seconds
Article 84: 20.45 seconds
Article 85: 19.35 seconds
Article 86: 26.14 seconds
Article 87: 16.59 seconds
Article 88: 39.73 seconds
Article 89: 23.91 seconds
Article 90: 23.83 seconds
Article 91: 22.77 seconds
Article 92: 21.46 seconds
Article 93: 20.79 seconds
Article 94: 20.37 seconds
Article 95: 9.25 seconds
Article 96: 3.15 seconds
Article 97: 17.73 seconds
Article 98: 24.48 seconds
Article 99: 25.97 seconds
Article 100: 40.34 seconds
Article 101: 20.41 seconds
Article 102: 23.65 seconds
Article 103: 16.01 seconds
Article 104: 27.69 seconds
Article 105: 7.55 seconds
Article 106: 19.27 seconds
Article 107: 6.90 seconds
Article 108: 34.23 seconds
Article 109: 16.39 seconds
Article 110: 7.02 seconds
Article 111: 15.96 seconds
Article 112: 30.28 seconds
Article 113: 17.25 seconds
Article 114: 13.36 seconds
Article 115: 23.72 seconds
Article 116: 29.98 seconds
Article 117: 24.15 seconds
Article 118: 27.42 seconds
Article 119: 34.31 seconds
Article 120: 24.93 seconds
Article 121: 37.62 seconds
Article 122: 33.24 seconds
Article 123: 40.39 seconds
Article 124: 41.32 seconds
Article 125: 55.69 seconds
Article 126: 27.34 seconds
Article 127: 10.08 seconds
Article 128: 23.37 seconds
Article 129: 22.19 seconds
Article 130: 49.90 seconds
Article 131: 37.07 seconds
Article 132: 36.13 seconds
Article 133: 16.80 seconds
Article 134: 11.36 seconds
Article 135: 5.77 seconds
Article 136: 41.19 seconds
Article 137: 36.11 seconds
Article 138: 17.65 seconds
Article 139: 28.04 seconds
Article 140: 17.19 seconds
Article 141: 15.74 seconds
Article 142: 26.67 seconds
Article 143: 19.30 seconds
Article 144: 35.29 seconds
Article 145: 25.75 seconds
Article 146: 19.59 seconds
Article 147: 31.65 seconds
Article 148: 43.23 seconds
Article 149: 25.90 seconds
Article 150: 5.84 seconds
Article 151: 24.20 seconds
Article 152: 23.88 seconds
Article 153: 38.87 seconds
Article 154: 25.97 seconds
Article 155: 26.45 seconds
Article 156: 22.47 seconds
Article 157: 12.35 seconds
Article 158: 27.07 seconds
Article 159: 24.01 seconds
Article 160: 35.46 seconds
Article 161: 17.74 seconds
Article 162: 25.44 seconds
Article 163: 18.19 seconds
Article 164: 37.59 seconds
Article 165: 25.19 seconds
Article 166: 27.06 seconds
Article 167: 43.49 seconds
Article 168: 27.15 seconds
Article 169: 31.81 seconds
Article 170: 12.20 seconds
Article 171: 23.93 seconds
Article 172: 10.50 seconds
Article 173: 22.07 seconds
Article 174: 16.23 seconds
Article 175: 21.08 seconds
Article 176: 15.99 seconds
Article 177: 27.69 seconds
Article 178: 17.76 seconds
Article 179: 29.29 seconds
Article 180: 37.05 seconds
Article 181: 31.99 seconds
Article 182: 0.00 seconds
Article 183: 31.80 seconds
Article 184: 17.85 seconds
Article 185: 27.38 seconds
Article 186: 24.01 seconds
Article 187: 43.44 seconds
Article 188: 24.10 seconds
Article 189: 18.38 seconds
Article 190: 41.09 seconds
Article 191: 0.00 seconds
Article 192: 20.56 seconds
Article 193: 8.12 seconds
Article 194: 14.88 seconds
Article 195: 18.97 seconds
Article 196: 28.95 seconds
Article 197: 11.43 seconds
Article 198: 11.58 seconds
Article 199: 39.44 seconds
Article 200: 20.04 seconds
Article 201: 17.73 seconds
Article 202: 5.63 seconds
Article 203: 14.30 seconds
Article 204: 18.23 seconds
Article 205: 14.79 seconds
Article 206: 21.99 seconds
Article 207: 29.47 seconds
Article 208: 25.28 seconds
Article 209: 42.41 seconds
Article 210: 21.87 seconds
Article 211: 0.00 seconds
Article 212: 40.64 seconds
Article 213: 24.47 seconds
Article 214: 28.91 seconds
Article 215: 18.46 seconds
Article 216: 24.74 seconds
Article 217: 20.03 seconds
Article 218: 31.93 seconds
Article 219: 50.00 seconds
Article 220: 14.82 seconds
Article 221: 34.14 seconds
Article 222: 26.99 seconds
Article 223: 10.71 seconds
Article 224: 39.87 seconds
Article 225: 20.46 seconds
Article 226: 27.04 seconds
Article 227: 31.39 seconds
Article 228: 33.45 seconds
Article 229: 24.46 seconds
Article 230: 6.48 seconds
Article 231: 28.66 seconds
Article 232: 21.82 seconds
Article 233: 11.10 seconds
Article 234: 15.23 seconds
Article 235: 25.19 seconds
Article 236: 20.96 seconds
Article 237: 21.94 seconds
Article 238: 47.12 seconds
Article 239: 29.23 seconds
Article 240: 26.20 seconds
Article 241: 31.76 seconds
Article 242: 39.52 seconds
Article 243: 32.26 seconds
Article 244: 23.08 seconds
Article 245: 19.61 seconds
Article 246: 40.84 seconds
Article 247: 5.12 seconds
Article 248: 29.34 seconds
Article 249: 22.61 seconds
Article 250: 11.62 seconds
Article 251: 23.89 seconds
Article 252: 12.90 seconds
Article 253: 21.12 seconds
Article 254: 33.04 seconds
Article 255: 8.09 seconds
Article 256: 11.24 seconds
Article 257: 35.03 seconds
Article 258: 33.76 seconds
Article 259: 17.85 seconds
Article 260: 22.26 seconds
Article 261: 29.16 seconds
Article 262: 16.51 seconds
Article 263: 30.75 seconds
Article 264: 27.07 seconds
Article 265: 14.74 seconds
Article 266: 14.80 seconds
Article 267: 13.13 seconds
Article 268: 40.34 seconds
Article 269: 12.21 seconds
Article 270: 25.61 seconds
Article 271: 0.00 seconds
Article 272: 28.33 seconds
Article 273: 31.02 seconds
Article 274: 22.15 seconds
Article 275: 28.68 seconds
Article 276: 12.45 seconds
Article 277: 39.32 seconds
Article 278: 29.18 seconds
Article 279: 11.91 seconds
Article 280: 24.72 seconds
Article 281: 20.29 seconds
Article 282: 15.21 seconds
Article 283: 36.19 seconds
Article 284: 22.13 seconds
Article 285: 25.78 seconds
Article 286: 17.26 seconds
Article 287: 20.44 seconds
Article 288: 13.30 seconds
Article 289: 14.34 seconds
Article 290: 16.49 seconds
Article 291: 31.07 seconds
Article 292: 31.03 seconds
Article 293: 19.65 seconds
Article 294: 38.91 seconds
Article 295: 31.99 seconds
Article 296: 21.81 seconds
Article 297: 37.06 seconds
Article 298: 32.92 seconds
Article 299: 14.49 seconds
Article 300: 20.38 seconds
Article 301: 21.39 seconds
Article 302: 16.36 seconds
Article 303: 28.87 seconds
Article 304: 26.85 seconds
Article 305: 19.63 seconds
Article 306: 14.29 seconds
Article 307: 20.27 seconds
Article 308: 32.57 seconds
Article 309: 33.72 seconds
Article 310: 12.18 seconds
Article 311: 8.81 seconds
Article 312: 27.73 seconds
Article 313: 23.53 seconds
Article 314: 13.13 seconds
Article 315: 22.12 seconds
Article 316: 26.60 seconds
Article 317: 34.00 seconds
Article 318: 29.50 seconds
Article 319: 26.53 seconds
Article 320: 1.75 seconds
Article 321: 15.89 seconds
Article 322: 42.38 seconds
Article 323: 13.17 seconds
Article 324: 33.92 seconds
Article 325: 32.80 seconds
Article 326: 22.05 seconds
Article 327: 27.58 seconds
Article 328: 35.19 seconds
Article 329: 26.24 seconds
Article 330: 25.84 seconds
Article 331: 38.19 seconds
Article 332: 43.81 seconds
Article 333: 41.40 seconds
Article 334: 32.46 seconds
Article 335: 43.98 seconds
Article 336: 19.60 seconds
Article 337: 5.65 seconds
Article 338: 34.48 seconds
Article 339: 41.99 seconds
Article 340: 31.91 seconds
Article 341: 42.14 seconds
Article 342: 39.15 seconds
Article 343: 19.05 seconds
Article 344: 20.47 seconds
Article 345: 29.23 seconds
Article 346: 31.05 seconds
Article 347: 18.62 seconds
Article 348: 23.32 seconds
Article 349: 20.68 seconds
Article 350: 5.58 seconds
Article 351: 24.72 seconds
Article 352: 23.30 seconds
Article 353: 20.58 seconds
Article 354: 17.19 seconds
Article 355: 16.86 seconds
Article 356: 12.29 seconds
Article 357: 32.60 seconds
Article 358: 32.33 seconds
Article 359: 6.29 seconds
Article 360: 27.19 seconds
Article 361: 29.12 seconds
Article 362: 12.92 seconds
Article 363: 22.90 seconds
Article 364: 12.64 seconds
Article 365: 22.48 seconds
Article 366: 27.71 seconds
Article 367: 37.19 seconds
Article 368: 24.33 seconds
Article 369: 3.58 seconds
Article 370: 17.63 seconds
Article 371: 27.61 seconds
Article 372: 18.13 seconds
Article 373: 33.32 seconds
Article 374: 7.68 seconds
Article 375: 39.49 seconds
Article 376: 18.85 seconds
Article 377: 31.35 seconds
Article 378: 28.04 seconds
Article 379: 34.86 seconds
Article 380: 34.55 seconds
Article 381: 29.93 seconds
Article 382: 15.51 seconds
Article 383: 29.23 seconds
Article 384: 32.09 seconds
Article 385: 21.56 seconds
Article 386: 28.63 seconds
Article 387: 8.14 seconds
Article 388: 42.63 seconds
Article 389: 24.52 seconds
Article 390: 23.63 seconds
Article 391: 24.72 seconds
Article 392: 7.83 seconds
Article 393: 30.54 seconds
Article 394: 6.68 seconds
Article 395: 15.39 seconds
Article 396: 28.46 seconds
Article 397: 20.98 seconds
Article 398: 24.32 seconds
Article 399: 26.11 seconds
Article 400: 14.37 seconds
Article 401: 28.78 seconds
Article 402: 29.68 seconds
Article 403: 20.94 seconds
Article 404: 16.86 seconds
Article 405: 34.11 seconds
Article 406: 13.57 seconds
Article 407: 25.21 seconds
Article 408: 20.00 seconds
Article 409: 0.00 seconds
Article 410: 26.53 seconds
Article 411: 37.80 seconds
Article 412: 17.49 seconds
Article 413: 29.69 seconds
Article 414: 33.32 seconds
Article 415: 13.07 seconds
Article 416: 23.59 seconds
Article 417: 26.64 seconds
Article 418: 30.92 seconds
Article 419: 21.54 seconds
Article 420: 55.34 seconds
Article 421: 24.77 seconds
Article 422: 10.40 seconds
Article 423: 19.67 seconds
Article 424: 5.22 seconds
Article 425: 22.25 seconds
Article 426: 15.24 seconds
Article 427: 23.78 seconds
Article 428: 25.54 seconds
Article 429: 30.03 seconds
Article 430: 29.59 seconds
Article 431: 27.03 seconds
Article 432: 37.28 seconds
Article 433: 40.78 seconds
Article 434: 29.66 seconds
Article 435: 30.46 seconds
Article 436: 31.72 seconds
Article 437: 28.65 seconds
Article 438: 18.57 seconds
Article 439: 20.12 seconds
