Model: llama2:7b-chat
Dataset: NewsRoom.json
Temperature: 0.1
Total inference time: 50608.26 seconds
Average inference time per article: 25.1 seconds
Inference times per article:
Article 1: 22.36 seconds
Article 2: 25.32 seconds
Article 3: 16.52 seconds
Article 4: 19.92 seconds
Article 5: 11.28 seconds
Article 6: 28.72 seconds
Article 7: 24.73 seconds
Article 8: 9.43 seconds
Article 9: 40.81 seconds
Article 10: 28.30 seconds
Article 11: 29.80 seconds
Article 12: 25.62 seconds
Article 13: 25.69 seconds
Article 14: 42.30 seconds
Article 15: 14.50 seconds
Article 16: 32.66 seconds
Article 17: 32.54 seconds
Article 18: 18.77 seconds
Article 19: 11.09 seconds
Article 20: 34.35 seconds
Article 21: 25.46 seconds
Article 22: 10.17 seconds
Article 23: 28.05 seconds
Article 24: 18.78 seconds
Article 25: 25.98 seconds
Article 26: 32.45 seconds
Article 27: 35.13 seconds
Article 28: 22.96 seconds
Article 29: 11.03 seconds
Article 30: 31.74 seconds
Article 31: 22.69 seconds
Article 32: 27.16 seconds
Article 33: 23.63 seconds
Article 34: 23.69 seconds
Article 35: 25.27 seconds
Article 36: 19.97 seconds
Article 37: 27.72 seconds
Article 38: 16.41 seconds
Article 39: 18.40 seconds
Article 40: 23.34 seconds
Article 41: 0.55 seconds
Article 42: 24.01 seconds
Article 43: 29.04 seconds
Article 44: 16.43 seconds
Article 45: 30.43 seconds
Article 46: 31.53 seconds
Article 47: 25.95 seconds
Article 48: 42.28 seconds
Article 49: 23.48 seconds
Article 50: 21.12 seconds
Article 51: 9.56 seconds
Article 52: 29.37 seconds
Article 53: 14.24 seconds
Article 54: 19.75 seconds
Article 55: 19.86 seconds
Article 56: 22.60 seconds
Article 57: 36.78 seconds
Article 58: 37.50 seconds
Article 59: 34.78 seconds
Article 60: 38.91 seconds
Article 61: 45.56 seconds
Article 62: 30.22 seconds
Article 63: 35.97 seconds
Article 64: 35.75 seconds
Article 65: 27.61 seconds
Article 66: 31.94 seconds
Article 67: 16.50 seconds
Article 68: 20.05 seconds
Article 69: 32.69 seconds
Article 70: 45.94 seconds
Article 71: 18.21 seconds
Article 72: 32.36 seconds
Article 73: 24.37 seconds
Article 74: 30.29 seconds
Article 75: 35.43 seconds
Article 76: 5.41 seconds
Article 77: 14.10 seconds
Article 78: 12.85 seconds
Article 79: 20.55 seconds
Article 80: 16.81 seconds
Article 81: 21.23 seconds
Article 82: 31.44 seconds
Article 83: 40.49 seconds
Article 84: 39.18 seconds
Article 85: 10.15 seconds
Article 86: 26.38 seconds
Article 87: 31.73 seconds
Article 88: 29.85 seconds
Article 89: 27.62 seconds
Article 90: 11.94 seconds
Article 91: 18.86 seconds
