Model: mistral_7b-instruct.txt
Dataset: NewsRoom.json
Temperature: 0.1
Total inference time: 41481.99 seconds
Average inference time per article: 20.74 seconds
Inference times per article:
Article 1: 16.61 seconds
Article 2: 17.33 seconds
Article 3: 30.36 seconds
Article 4: 16.58 seconds
Article 5: 26.78 seconds
Article 6: 42.48 seconds
Article 7: 1.67 seconds
Article 8: 16.71 seconds
Article 9: 21.55 seconds
Article 10: 34.18 seconds
Article 11: 59.32 seconds
Article 12: 16.94 seconds
Article 13: 0.21 seconds
Article 14: 34.11 seconds
Article 15: 15.22 seconds
Article 16: 19.16 seconds
Article 17: 39.04 seconds
Article 18: 12.24 seconds
Article 19: 16.06 seconds
Article 20: 1.52 seconds
Article 21: 30.55 seconds
Article 22: 15.36 seconds
Article 23: 13.12 seconds
Article 24: 29.10 seconds
Article 25: 2.00 seconds
Article 26: 29.64 seconds
Article 27: 23.70 seconds
Article 28: 7.98 seconds
Article 29: 23.14 seconds
Article 30: 25.90 seconds
Article 31: 39.74 seconds
Article 32: 4.36 seconds
Article 33: 24.37 seconds
Article 34: 40.34 seconds
Article 35: 26.90 seconds
Article 36: 19.10 seconds
Article 37: 13.11 seconds
Article 38: 19.41 seconds
Article 39: 34.75 seconds
Article 40: 28.95 seconds
Article 41: 11.15 seconds
Article 42: 34.01 seconds
Article 43: 34.83 seconds
Article 44: 27.68 seconds
Article 45: 24.97 seconds
Article 46: 15.31 seconds
Article 47: 17.86 seconds
Article 48: 10.48 seconds
Article 49: 25.15 seconds
Article 50: 17.96 seconds
Article 51: 11.74 seconds
Article 52: 14.80 seconds
Article 53: 18.17 seconds
Article 54: 24.51 seconds
Article 55: 33.05 seconds
Article 56: 26.17 seconds
Article 57: 19.36 seconds
Article 58: 18.04 seconds
Article 59: 18.22 seconds
Article 60: 4.00 seconds
Article 61: 36.88 seconds
Article 62: 9.35 seconds
Article 63: 9.14 seconds
Article 64: 38.15 seconds
Article 65: 14.60 seconds
Article 66: 32.89 seconds
Article 67: 12.72 seconds
Article 68: 26.73 seconds
Article 69: 19.12 seconds
Article 70: 28.23 seconds
Article 71: 39.86 seconds
Article 72: 38.39 seconds
Article 73: 15.30 seconds
Article 74: 11.11 seconds
Article 75: 18.19 seconds
Article 76: 21.27 seconds
Article 77: 38.53 seconds
Article 78: 32.00 seconds
Article 79: 3.67 seconds
Article 80: 4.98 seconds
Article 81: 30.21 seconds
Article 82: 24.21 seconds
Article 83: 1.61 seconds
Article 84: 24.37 seconds
Article 85: 33.17 seconds
Article 86: 43.79 seconds
Article 87: 29.60 seconds
Article 88: 14.58 seconds
Article 89: 17.69 seconds
Article 90: 40.95 seconds
Article 91: 10.71 seconds
Article 92: 14.17 seconds
Article 93: 27.15 seconds
Article 94: 6.55 seconds
Article 95: 17.78 seconds
Article 96: 12.30 seconds
Article 97: 15.87 seconds
Article 98: 16.56 seconds
Article 99: 15.05 seconds
Article 100: 23.28 seconds
Article 101: 32.35 seconds
Article 102: 0.55 seconds
Article 103: 14.80 seconds
Article 104: 9.56 seconds
Article 105: 29.63 seconds
Article 106: 15.53 seconds
Article 107: 26.70 seconds
Article 108: 19.58 seconds
Article 109: 2.97 seconds
Article 110: 28.82 seconds
Article 111: 10.76 seconds
Article 112: 24.06 seconds
Article 113: 17.72 seconds
Article 114: 22.45 seconds
Article 115: 22.75 seconds
Article 116: 32.90 seconds
Article 117: 30.90 seconds
Article 118: 27.48 seconds
Article 119: 29.00 seconds
Article 120: 10.87 seconds
Article 121: 36.71 seconds
Article 122: 26.93 seconds
Article 123: 16.22 seconds
Article 124: 32.49 seconds
Article 125: 18.33 seconds
Article 126: 8.62 seconds
Article 127: 15.42 seconds
Article 128: 21.57 seconds
Article 129: 14.78 seconds
Article 130: 44.73 seconds
Article 131: 21.56 seconds
Article 132: 15.30 seconds
Article 133: 25.16 seconds
Article 134: 11.65 seconds
Article 135: 11.80 seconds
Article 136: 17.89 seconds
Article 137: 24.36 seconds
Article 138: 25.91 seconds
Article 139: 13.74 seconds
Article 140: 9.79 seconds
Article 141: 19.39 seconds
Article 142: 40.79 seconds
Article 143: 3.79 seconds
Article 144: 7.84 seconds
Article 145: 5.68 seconds
Article 146: 27.74 seconds
Article 147: 23.72 seconds
Article 148: 6.69 seconds
Article 149: 24.41 seconds
Article 150: 19.61 seconds
Article 151: 3.01 seconds
Article 152: 13.09 seconds
Article 153: 20.70 seconds
Article 154: 20.82 seconds
Article 155: 34.03 seconds
Article 156: 0.53 seconds
Article 157: 2.23 seconds
Article 158: 22.32 seconds
Article 159: 4.03 seconds
Article 160: 9.54 seconds
Article 161: 22.69 seconds
Article 162: 19.62 seconds
Article 163: 23.24 seconds
Article 164: 35.00 seconds
Article 165: 29.47 seconds
Article 166: 32.49 seconds
Article 167: 4.03 seconds
Article 168: 27.78 seconds
Article 169: 15.28 seconds
Article 170: 13.50 seconds
Article 171: 9.13 seconds
Article 172: 8.66 seconds
Article 173: 12.09 seconds
Article 174: 30.70 seconds
Article 175: 19.61 seconds
Article 176: 35.14 seconds
Article 177: 8.55 seconds
Article 178: 22.83 seconds
Article 179: 23.75 seconds
Article 180: 25.49 seconds
Article 181: 20.23 seconds
Article 182: 10.12 seconds
Article 183: 22.84 seconds
Article 184: 21.07 seconds
Article 185: 13.96 seconds
Article 186: 42.90 seconds
Article 187: 4.52 seconds
Article 188: 38.21 seconds
Article 189: 11.56 seconds
Article 190: 43.20 seconds
Article 191: 16.81 seconds
Article 192: 29.41 seconds
Article 193: 28.70 seconds
Article 194: 29.49 seconds
Article 195: 21.97 seconds
Article 196: 36.97 seconds
Article 197: 24.35 seconds
Article 198: 21.94 seconds
Article 199: 14.54 seconds
Article 200: 30.39 seconds
Article 201: 20.88 seconds
Article 202: 30.73 seconds
Article 203: 7.84 seconds
Article 204: 26.25 seconds
Article 205: 22.26 seconds
Article 206: 14.96 seconds
Article 207: 12.59 seconds
Article 208: 10.93 seconds
Article 209: 17.13 seconds
Article 210: 17.01 seconds
Article 211: 25.68 seconds
Article 212: 17.07 seconds
Article 213: 17.08 seconds
Article 214: 23.12 seconds
Article 215: 18.65 seconds
Article 216: 24.20 seconds
Article 217: 24.53 seconds
Article 218: 26.59 seconds
Article 219: 30.35 seconds
Article 220: 10.36 seconds
Article 221: 18.80 seconds
Article 222: 9.88 seconds
Article 223: 31.48 seconds
Article 224: 18.00 seconds
Article 225: 6.08 seconds
Article 226: 31.69 seconds
Article 227: 24.41 seconds
Article 228: 20.34 seconds
Article 229: 19.82 seconds
Article 230: 15.37 seconds
Article 231: 22.67 seconds
Article 232: 14.63 seconds
Article 233: 20.43 seconds
Article 234: 41.89 seconds
Article 235: 40.06 seconds
Article 236: 13.57 seconds
Article 237: 29.55 seconds
Article 238: 9.59 seconds
Article 239: 30.28 seconds
Article 240: 32.49 seconds
Article 241: 20.05 seconds
Article 242: 35.35 seconds
Article 243: 35.41 seconds
Article 244: 21.64 seconds
Article 245: 29.65 seconds
Article 246: 19.72 seconds
Article 247: 25.57 seconds
Article 248: 30.80 seconds
Article 249: 31.18 seconds
Article 250: 38.64 seconds
Article 251: 21.08 seconds
Article 252: 30.91 seconds
Article 253: 16.48 seconds
Article 254: 3.44 seconds
Article 255: 20.68 seconds
Article 256: 16.32 seconds
Article 257: 6.93 seconds
Article 258: 33.98 seconds
Article 259: 34.22 seconds
Article 260: 29.38 seconds
Article 261: 23.73 seconds
Article 262: 36.40 seconds
Article 263: 7.26 seconds
Article 264: 31.41 seconds
Article 265: 27.73 seconds
Article 266: 19.81 seconds
Article 267: 31.04 seconds
Article 268: 21.27 seconds
Article 269: 4.97 seconds
Article 270: 11.42 seconds
Article 271: 22.95 seconds
Article 272: 17.28 seconds
Article 273: 17.27 seconds
Article 274: 27.83 seconds
Article 275: 22.89 seconds
Article 276: 27.67 seconds
Article 277: 24.91 seconds
Article 278: 17.06 seconds
Article 279: 29.72 seconds
Article 280: 26.00 seconds
Article 281: 31.77 seconds
Article 282: 21.81 seconds
Article 283: 16.57 seconds
Article 284: 17.52 seconds
Article 285: 15.04 seconds
Article 286: 19.20 seconds
Article 287: 2.06 seconds
Article 288: 15.40 seconds
Article 289: 31.78 seconds
Article 290: 31.86 seconds
Article 291: 18.01 seconds
Article 292: 15.38 seconds
Article 293: 23.74 seconds
Article 294: 28.03 seconds
Article 295: 23.17 seconds
Article 296: 22.02 seconds
Article 297: 24.59 seconds
Article 298: 16.80 seconds
Article 299: 39.75 seconds
Article 300: 8.86 seconds
Article 301: 9.67 seconds
Article 302: 25.39 seconds
Article 303: 12.61 seconds
Article 304: 13.96 seconds
Article 305: 28.59 seconds
Article 306: 10.64 seconds
Article 307: 15.92 seconds
Article 308: 29.58 seconds
Article 309: 8.27 seconds
Article 310: 2.06 seconds
Article 311: 18.12 seconds
Article 312: 24.16 seconds
Article 313: 5.08 seconds
Article 314: 22.51 seconds
Article 315: 17.89 seconds
Article 316: 24.35 seconds
Article 317: 18.80 seconds
Article 318: 6.04 seconds
Article 319: 20.06 seconds
Article 320: 3.08 seconds
Article 321: 26.86 seconds
Article 322: 11.56 seconds
Article 323: 30.74 seconds
Article 324: 22.50 seconds
Article 325: 28.77 seconds
Article 326: 16.82 seconds
