Model: Mixtral-8x7B-Instruct
Dataset: NewsRoom.json
Temperature: 0.1
Total inference time: 73625.13 seconds
Average inference time per article: 36.81 seconds
Inference times per article:
Article 1: 41.80 seconds
Article 2: 33.07 seconds
Article 3: 18.75 seconds
Article 4: 40.65 seconds
Article 5: 42.48 seconds
Article 6: 39.75 seconds
Article 7: 24.33 seconds
Article 8: 28.39 seconds
Article 9: 52.93 seconds
Article 10: 20.16 seconds
Article 11: 45.00 seconds
Article 12: 46.63 seconds
Article 13: 25.07 seconds
Article 14: 45.79 seconds
Article 15: 30.13 seconds
Article 16: 26.60 seconds
Article 17: 30.34 seconds
Article 18: 38.52 seconds
Article 19: 28.94 seconds
Article 20: 37.20 seconds
Article 21: 30.28 seconds
Article 22: 44.83 seconds
Article 23: 37.10 seconds
Article 24: 41.31 seconds
Article 25: 38.67 seconds
Article 26: 36.19 seconds
Article 27: 23.67 seconds
Article 28: 48.70 seconds
Article 29: 45.09 seconds
Article 30: 46.30 seconds
Article 31: 41.00 seconds
Article 32: 29.17 seconds
Article 33: 45.96 seconds
Article 34: 44.47 seconds
Article 35: 21.74 seconds
Article 36: 33.39 seconds
Article 37: 46.38 seconds
Article 38: 36.48 seconds
Article 39: 37.28 seconds
Article 40: 3.57 seconds
Article 41: 56.19 seconds
Article 42: 41.69 seconds
Article 43: 23.41 seconds
Article 44: 43.95 seconds
Article 45: 29.54 seconds
Article 46: 51.59 seconds
Article 47: 26.68 seconds
Article 48: 16.18 seconds
Article 49: 29.88 seconds
Article 50: 31.45 seconds
Article 51: 58.78 seconds
Article 52: 30.34 seconds
Article 53: 20.85 seconds
Article 54: 32.17 seconds
Article 55: 40.80 seconds
Article 56: 32.86 seconds
Article 57: 36.50 seconds
Article 58: 33.97 seconds
Article 59: 50.44 seconds
Article 60: 25.07 seconds
Article 61: 29.24 seconds
Article 62: 39.94 seconds
Article 63: 60.12 seconds
Article 64: 46.13 seconds
Article 65: 53.78 seconds
Article 66: 29.65 seconds
Article 67: 41.56 seconds
Article 68: 44.18 seconds
Article 69: 29.08 seconds
Article 70: 47.98 seconds
Article 71: 39.88 seconds
Article 72: 44.56 seconds
Article 73: 22.28 seconds
Article 74: 43.44 seconds
Article 75: 33.97 seconds
Article 76: 24.80 seconds
Article 77: 26.21 seconds
Article 78: 39.98 seconds
Article 79: 39.15 seconds
Article 80: 33.53 seconds
Article 81: 38.12 seconds
Article 82: 27.71 seconds
Article 83: 32.59 seconds
Article 84: 39.60 seconds
Article 85: 18.86 seconds
Article 86: 48.00 seconds
Article 87: 39.32 seconds
Article 88: 48.23 seconds
Article 89: 11.83 seconds
Article 90: 14.38 seconds
Article 91: 40.64 seconds
Article 92: 33.28 seconds
Article 93: 30.01 seconds
Article 94: 27.29 seconds
Article 95: 36.92 seconds
Article 96: 29.28 seconds
Article 97: 38.00 seconds
Article 98: 48.97 seconds
Article 99: 37.38 seconds
Article 100: 29.81 seconds
Article 101: 50.86 seconds
Article 102: 39.53 seconds
Article 103: 49.52 seconds
Article 104: 34.37 seconds
Article 105: 50.93 seconds
Article 106: 36.92 seconds
Article 107: 24.12 seconds
Article 108: 37.31 seconds
Article 109: 39.87 seconds
Article 110: 35.88 seconds
Article 111: 26.06 seconds
Article 112: 44.18 seconds
Article 113: 38.39 seconds
Article 114: 18.66 seconds
Article 115: 33.34 seconds
Article 116: 26.22 seconds
Article 117: 26.01 seconds
Article 118: 31.56 seconds
Article 119: 38.34 seconds
Article 120: 40.44 seconds
Article 121: 58.00 seconds
Article 122: 42.56 seconds
Article 123: 35.46 seconds
Article 124: 31.16 seconds
Article 125: 35.99 seconds
Article 126: 35.92 seconds
Article 127: 45.69 seconds
Article 128: 39.73 seconds
Article 129: 46.53 seconds
Article 130: 30.75 seconds
Article 131: 20.59 seconds
Article 132: 41.49 seconds
Article 133: 36.66 seconds
Article 134: 31.61 seconds
Article 135: 39.44 seconds
Article 136: 37.69 seconds
Article 137: 21.18 seconds
Article 138: 23.29 seconds
Article 139: 37.06 seconds
Article 140: 29.63 seconds
Article 141: 43.70 seconds
Article 142: 47.26 seconds
Article 143: 39.00 seconds
Article 144: 29.70 seconds
Article 145: 45.00 seconds
Article 146: 26.14 seconds
Article 147: 40.06 seconds
Article 148: 24.60 seconds
Article 149: 46.80 seconds
Article 150: 53.65 seconds
Article 151: 31.96 seconds
Article 152: 40.06 seconds
Article 153: 57.37 seconds
Article 154: 19.33 seconds
Article 155: 34.27 seconds
Article 156: 40.99 seconds
Article 157: 32.59 seconds
Article 158: 41.27 seconds
Article 159: 16.55 seconds
Article 160: 48.62 seconds
Article 161: 50.59 seconds
Article 162: 39.74 seconds
Article 163: 42.00 seconds
Article 164: 21.27 seconds
Article 165: 47.40 seconds
Article 166: 39.79 seconds
Article 167: 39.90 seconds
Article 168: 39.31 seconds
Article 169: 26.69 seconds
Article 170: 42.35 seconds
Article 171: 33.04 seconds
Article 172: 23.45 seconds
Article 173: 36.90 seconds
Article 174: 22.19 seconds
Article 175: 42.66 seconds
Article 176: 51.32 seconds
Article 177: 31.07 seconds
Article 178: 39.48 seconds
Article 179: 54.45 seconds
Article 180: 26.08 seconds
Article 181: 31.54 seconds
Article 182: 56.31 seconds
Article 183: 53.52 seconds
Article 184: 26.93 seconds
Article 185: 31.00 seconds
Article 186: 28.03 seconds
Article 187: 37.92 seconds
Article 188: 32.30 seconds
Article 189: 33.94 seconds
Article 190: 22.21 seconds
Article 191: 50.47 seconds
Article 192: 27.94 seconds
Article 193: 39.31 seconds
Article 194: 23.09 seconds
Article 195: 52.26 seconds
Article 196: 35.57 seconds
Article 197: 21.79 seconds
Article 198: 21.48 seconds
Article 199: 37.25 seconds
Article 200: 27.42 seconds
Article 201: 41.72 seconds
Article 202: 48.43 seconds
Article 203: 30.94 seconds
Article 204: 37.62 seconds
Article 205: 42.30 seconds
Article 206: 33.21 seconds
Article 207: 31.02 seconds
Article 208: 51.55 seconds
Article 209: 45.65 seconds
Article 210: 63.39 seconds
Article 211: 45.95 seconds
Article 212: 26.52 seconds
Article 213: 9.31 seconds
Article 214: 36.54 seconds
Article 215: 22.86 seconds
Article 216: 49.90 seconds
Article 217: 34.48 seconds
Article 218: 34.13 seconds
Article 219: 46.44 seconds
Article 220: 34.20 seconds
Article 221: 27.29 seconds
Article 222: 38.11 seconds
Article 223: 36.89 seconds
Article 224: 50.07 seconds
Article 225: 44.07 seconds
Article 226: 50.61 seconds
Article 227: 30.76 seconds
Article 228: 28.75 seconds
Article 229: 38.69 seconds
Article 230: 40.17 seconds
Article 231: 22.35 seconds
Article 232: 34.78 seconds
Article 233: 46.62 seconds
Article 234: 36.60 seconds
Article 235: 37.11 seconds
Article 236: 11.30 seconds
Article 237: 36.64 seconds
Article 238: 43.46 seconds
Article 239: 52.66 seconds
Article 240: 38.87 seconds
Article 241: 33.73 seconds
Article 242: 48.27 seconds
Article 243: 51.39 seconds
Article 244: 29.66 seconds
Article 245: 53.81 seconds
Article 246: 42.93 seconds
Article 247: 31.77 seconds
Article 248: 45.89 seconds
Article 249: 29.47 seconds
Article 250: 25.45 seconds
Article 251: 30.22 seconds
Article 252: 24.26 seconds
Article 253: 33.20 seconds
Article 254: 39.06 seconds
Article 255: 40.67 seconds
Article 256: 31.23 seconds
Article 257: 14.26 seconds
Article 258: 43.91 seconds
Article 259: 30.08 seconds
Article 260: 27.77 seconds
Article 261: 31.72 seconds
Article 262: 37.29 seconds
Article 263: 35.30 seconds
Article 264: 37.38 seconds
Article 265: 30.34 seconds
Article 266: 38.59 seconds
Article 267: 36.70 seconds
Article 268: 61.13 seconds
Article 269: 44.08 seconds
Article 270: 36.81 seconds
Article 271: 41.49 seconds
Article 272: 24.03 seconds
Article 273: 42.98 seconds
Article 274: 38.60 seconds
Article 275: 38.69 seconds
Article 276: 41.22 seconds
Article 277: 40.40 seconds
Article 278: 32.90 seconds
Article 279: 47.60 seconds
Article 280: 37.00 seconds
Article 281: 24.89 seconds
Article 282: 36.51 seconds
Article 283: 43.29 seconds
Article 284: 37.90 seconds
Article 285: 21.84 seconds
Article 286: 46.00 seconds
Article 287: 57.14 seconds
Article 288: 40.45 seconds
Article 289: 35.20 seconds
Article 290: 33.47 seconds
Article 291: 33.68 seconds
Article 292: 27.17 seconds
Article 293: 38.99 seconds
Article 294: 33.08 seconds
Article 295: 42.63 seconds
Article 296: 60.32 seconds
Article 297: 33.20 seconds
Article 298: 47.11 seconds
Article 299: 42.37 seconds
Article 300: 39.57 seconds
Article 301: 30.88 seconds
Article 302: 39.34 seconds
Article 303: 26.29 seconds
Article 304: 33.99 seconds
Article 305: 28.26 seconds
Article 306: 18.25 seconds
Article 307: 36.85 seconds
Article 308: 22.49 seconds
Article 309: 18.25 seconds
Article 310: 35.92 seconds
Article 311: 25.60 seconds
Article 312: 35.36 seconds
Article 313: 26.43 seconds
Article 314: 24.92 seconds
Article 315: 28.93 seconds
Article 316: 38.04 seconds
Article 317: 25.11 seconds
Article 318: 36.20 seconds
Article 319: 53.32 seconds
Article 320: 43.70 seconds
Article 321: 37.64 seconds
