Model: gemma_7b-instruct
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 21681.65 seconds
Average inference time per article: 10.2 seconds
Inference times per article:
Article 1: 2.00 seconds
Article 2: 9.17 seconds
Article 3: 7.94 seconds
Article 4: 14.78 seconds
Article 5: 5.39 seconds
Article 6: 10.40 seconds
Article 7: 12.63 seconds
Article 8: 2.53 seconds
Article 9: 13.15 seconds
Article 10: 10.45 seconds
Article 11: 6.99 seconds
Article 12: 25.75 seconds
Article 13: 2.49 seconds
Article 14: 12.55 seconds
Article 15: 32.10 seconds
Article 16: 12.42 seconds
Article 17: 0.00 seconds
Article 18: 6.72 seconds
Article 19: 8.86 seconds
Article 20: 23.06 seconds
Article 21: 13.99 seconds
Article 22: 14.52 seconds
Article 23: 9.68 seconds
Article 24: 13.88 seconds
Article 25: 0.00 seconds
Article 26: 6.25 seconds
Article 27: 28.13 seconds
Article 28: 19.06 seconds
Article 29: 0.00 seconds
Article 30: 9.60 seconds
Article 31: 12.21 seconds
Article 32: 25.09 seconds
Article 33: 15.30 seconds
Article 34: 0.31 seconds
Article 35: 0.00 seconds
Article 36: 9.08 seconds
Article 37: 6.94 seconds
Article 38: 32.54 seconds
Article 39: 12.19 seconds
Article 40: 0.61 seconds
Article 41: 12.75 seconds
Article 42: 0.00 seconds
Article 43: 12.49 seconds
Article 44: 22.50 seconds
Article 45: 12.89 seconds
Article 46: 23.05 seconds
Article 47: 14.71 seconds
Article 48: 8.97 seconds
Article 49: 9.07 seconds
Article 50: 13.50 seconds
Article 51: 0.00 seconds
Article 52: 16.31 seconds
Article 53: 0.00 seconds
Article 54: 0.00 seconds
Article 55: 7.74 seconds
Article 56: 0.00 seconds
Article 57: 28.26 seconds
Article 58: 5.25 seconds
Article 59: 33.93 seconds
Article 60: 0.00 seconds
Article 61: 6.32 seconds
Article 62: 22.58 seconds
Article 63: 0.00 seconds
Article 64: 0.00 seconds
Article 65: 7.34 seconds
Article 66: 13.46 seconds
Article 67: 5.91 seconds
Article 68: 14.25 seconds
Article 69: 2.42 seconds
Article 70: 0.00 seconds
Article 71: 1.92 seconds
Article 72: 22.55 seconds
Article 73: 35.85 seconds
