Model: llama2:7b-chat
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 24356.91 seconds
Average inference time per article: 11.5 seconds
Inference times per article:
Article 1: 15.92 seconds
Article 2: 21.29 seconds
Article 3: 23.64 seconds
Article 4: 5.87 seconds
Article 5: 8.99 seconds
Article 6: 11.67 seconds
Article 7: 35.31 seconds
Article 8: 11.47 seconds
Article 9: 21.93 seconds
Article 10: 0.00 seconds
Article 11: 4.24 seconds
Article 12: 20.74 seconds
Article 13: 2.45 seconds
Article 14: 7.69 seconds
Article 15: 7.53 seconds
Article 16: 6.51 seconds
Article 17: 23.21 seconds
Article 18: 15.93 seconds
Article 19: 15.32 seconds
Article 20: 17.20 seconds
Article 21: 9.13 seconds
Article 22: 4.38 seconds
Article 23: 23.26 seconds
Article 24: 11.69 seconds
Article 25: 0.00 seconds
Article 26: 28.67 seconds
Article 27: 19.97 seconds
Article 28: 18.33 seconds
Article 29: 0.00 seconds
Article 30: 9.05 seconds
Article 31: 11.17 seconds
Article 32: 8.38 seconds
Article 33: 32.68 seconds
Article 34: 7.09 seconds
Article 35: 1.55 seconds
Article 36: 14.20 seconds
Article 37: 0.20 seconds
Article 38: 4.17 seconds
Article 39: 25.30 seconds
Article 40: 13.09 seconds
Article 41: 20.69 seconds
Article 42: 0.00 seconds
Article 43: 29.74 seconds
Article 44: 5.33 seconds
Article 45: 21.03 seconds
Article 46: 34.13 seconds
Article 47: 8.88 seconds
Article 48: 26.42 seconds
Article 49: 26.55 seconds
Article 50: 0.00 seconds
Article 51: 22.15 seconds
Article 52: 14.20 seconds
Article 53: 0.00 seconds
Article 54: 0.96 seconds
Article 55: 20.83 seconds
Article 56: 14.23 seconds
Article 57: 23.69 seconds
Article 58: 3.92 seconds
Article 59: 2.57 seconds
Article 60: 12.33 seconds
Article 61: 10.00 seconds
Article 62: 25.63 seconds
Article 63: 11.42 seconds
Article 64: 19.04 seconds
Article 65: 18.05 seconds
Article 66: 6.10 seconds
Article 67: 11.78 seconds
Article 68: 0.00 seconds
Article 69: 0.00 seconds
Article 70: 5.00 seconds
Article 71: 8.98 seconds
Article 72: 13.40 seconds
Article 73: 5.27 seconds
Article 74: 3.31 seconds
Article 75: 28.03 seconds
Article 76: 14.48 seconds
Article 77: 22.91 seconds
Article 78: 5.82 seconds
Article 79: 15.16 seconds
Article 80: 5.34 seconds
Article 81: 8.05 seconds
Article 82: 2.60 seconds
Article 83: 12.24 seconds
Article 84: 17.02 seconds
Article 85: 0.00 seconds
Article 86: 15.69 seconds
Article 87: 21.32 seconds
Article 88: 3.68 seconds
Article 89: 11.28 seconds
Article 90: 13.42 seconds
Article 91: 20.28 seconds
Article 92: 4.03 seconds
Article 93: 20.38 seconds
Article 94: 21.14 seconds
Article 95: 16.14 seconds
Article 96: 12.89 seconds
Article 97: 0.00 seconds
Article 98: 16.95 seconds
Article 99: 10.69 seconds
Article 100: 21.52 seconds
Article 101: 3.71 seconds
Article 102: 24.05 seconds
Article 103: 17.40 seconds
Article 104: 0.75 seconds
Article 105: 0.00 seconds
Article 106: 10.22 seconds
Article 107: 8.37 seconds
Article 108: 15.81 seconds
Article 109: 16.88 seconds
Article 110: 11.83 seconds
Article 111: 1.88 seconds
Article 112: 4.73 seconds
Article 113: 12.41 seconds
Article 114: 6.98 seconds
Article 115: 9.41 seconds
Article 116: 5.53 seconds
Article 117: 12.74 seconds
Article 118: 14.57 seconds
Article 119: 31.73 seconds
Article 120: 7.09 seconds
Article 121: 23.37 seconds
Article 122: 30.63 seconds
Article 123: 2.79 seconds
Article 124: 3.36 seconds
Article 125: 13.53 seconds
Article 126: 6.77 seconds
Article 127: 15.88 seconds
Article 128: 11.28 seconds
Article 129: 18.70 seconds
Article 130: 14.99 seconds
Article 131: 3.38 seconds
Article 132: 21.16 seconds
Article 133: 12.75 seconds
Article 134: 25.38 seconds
Article 135: 13.96 seconds
Article 136: 22.02 seconds
Article 137: 0.00 seconds
Article 138: 12.13 seconds
Article 139: 24.83 seconds
Article 140: 20.50 seconds
Article 141: 0.00 seconds
Article 142: 0.00 seconds
Article 143: 7.12 seconds
Article 144: 0.00 seconds
Article 145: 0.00 seconds
Article 146: 3.28 seconds
Article 147: 10.41 seconds
Article 148: 7.22 seconds
Article 149: 16.58 seconds
Article 150: 17.87 seconds
Article 151: 0.00 seconds
Article 152: 22.99 seconds
Article 153: 5.65 seconds
Article 154: 0.00 seconds
Article 155: 18.91 seconds
Article 156: 12.50 seconds
Article 157: 0.00 seconds
Article 158: 0.00 seconds
Article 159: 7.55 seconds
Article 160: 0.00 seconds
Article 161: 0.00 seconds
Article 162: 0.00 seconds
Article 163: 2.17 seconds
Article 164: 4.89 seconds
Article 165: 29.71 seconds
Article 166: 0.00 seconds
Article 167: 12.51 seconds
Article 168: 11.36 seconds
Article 169: 16.16 seconds
Article 170: 6.64 seconds
Article 171: 26.93 seconds
Article 172: 36.04 seconds
Article 173: 25.43 seconds
Article 174: 10.57 seconds
Article 175: 11.58 seconds
Article 176: 11.61 seconds
Article 177: 32.82 seconds
Article 178: 9.46 seconds
Article 179: 10.09 seconds
Article 180: 0.88 seconds
Article 181: 3.08 seconds
Article 182: 0.00 seconds
Article 183: 8.65 seconds
Article 184: 22.36 seconds
Article 185: 11.89 seconds
Article 186: 12.90 seconds
Article 187: 20.48 seconds
Article 188: 11.68 seconds
Article 189: 0.00 seconds
Article 190: 7.33 seconds
Article 191: 15.00 seconds
Article 192: 7.08 seconds
Article 193: 11.93 seconds
Article 194: 34.00 seconds
Article 195: 8.29 seconds
Article 196: 10.45 seconds
Article 197: 37.20 seconds
Article 198: 8.84 seconds
Article 199: 21.02 seconds
Article 200: 25.83 seconds
Article 201: 0.00 seconds
Article 202: 19.45 seconds
Article 203: 15.81 seconds
Article 204: 8.63 seconds
Article 205: 10.42 seconds
Article 206: 16.14 seconds
Article 207: 25.25 seconds
Article 208: 0.00 seconds
Article 209: 11.06 seconds
Article 210: 7.37 seconds
Article 211: 11.52 seconds
Article 212: 14.72 seconds
Article 213: 30.91 seconds
Article 214: 15.44 seconds
Article 215: 0.45 seconds
Article 216: 15.86 seconds
Article 217: 20.26 seconds
Article 218: 15.63 seconds
Article 219: 18.25 seconds
Article 220: 8.71 seconds
Article 221: 17.88 seconds
Article 222: 14.29 seconds
Article 223: 27.31 seconds
Article 224: 9.31 seconds
Article 225: 12.35 seconds
Article 226: 15.39 seconds
Article 227: 0.00 seconds
Article 228: 16.53 seconds
Article 229: 27.09 seconds
Article 230: 32.36 seconds
Article 231: 25.35 seconds
Article 232: 14.78 seconds
Article 233: 7.93 seconds
Article 234: 29.81 seconds
Article 235: 13.80 seconds
Article 236: 18.18 seconds
Article 237: 34.26 seconds
Article 238: 12.73 seconds
Article 239: 26.00 seconds
Article 240: 7.04 seconds
Article 241: 0.00 seconds
Article 242: 19.16 seconds
Article 243: 4.25 seconds
Article 244: 12.91 seconds
Article 245: 20.30 seconds
Article 246: 6.46 seconds
Article 247: 19.28 seconds
Article 248: 15.31 seconds
Article 249: 16.29 seconds
Article 250: 0.00 seconds
Article 251: 0.00 seconds
Article 252: 21.42 seconds
Article 253: 20.80 seconds
Article 254: 19.00 seconds
Article 255: 25.67 seconds
Article 256: 25.17 seconds
Article 257: 3.87 seconds
Article 258: 0.00 seconds
Article 259: 10.98 seconds
Article 260: 18.96 seconds
Article 261: 5.05 seconds
Article 262: 0.00 seconds
Article 263: 20.07 seconds
Article 264: 27.70 seconds
Article 265: 7.54 seconds
Article 266: 13.80 seconds
Article 267: 4.50 seconds
Article 268: 9.75 seconds
Article 269: 22.41 seconds
Article 270: 13.59 seconds
Article 271: 14.85 seconds
Article 272: 8.27 seconds
Article 273: 10.08 seconds
Article 274: 13.32 seconds
Article 275: 2.41 seconds
Article 276: 0.20 seconds
Article 277: 16.87 seconds
Article 278: 23.34 seconds
Article 279: 21.78 seconds
Article 280: 14.39 seconds
Article 281: 9.91 seconds
Article 282: 10.49 seconds
Article 283: 0.00 seconds
Article 284: 11.14 seconds
Article 285: 12.66 seconds
Article 286: 0.00 seconds
Article 287: 16.76 seconds
Article 288: 0.00 seconds
Article 289: 0.03 seconds
Article 290: 7.87 seconds
Article 291: 12.37 seconds
Article 292: 7.31 seconds
Article 293: 10.51 seconds
Article 294: 7.38 seconds
Article 295: 7.45 seconds
Article 296: 4.88 seconds
Article 297: 16.37 seconds
Article 298: 20.04 seconds
Article 299: 23.80 seconds
Article 300: 1.45 seconds
Article 301: 7.95 seconds
Article 302: 24.59 seconds
Article 303: 4.42 seconds
Article 304: 5.14 seconds
Article 305: 14.33 seconds
Article 306: 2.48 seconds
Article 307: 2.29 seconds
Article 308: 7.14 seconds
Article 309: 0.00 seconds
Article 310: 0.00 seconds
Article 311: 8.16 seconds
Article 312: 14.90 seconds
Article 313: 14.26 seconds
Article 314: 15.35 seconds
Article 315: 9.54 seconds
Article 316: 20.31 seconds
Article 317: 9.70 seconds
Article 318: 11.08 seconds
Article 319: 8.06 seconds
Article 320: 0.00 seconds
Article 321: 12.79 seconds
Article 322: 10.51 seconds
Article 323: 13.98 seconds
Article 324: 28.72 seconds
Article 325: 5.84 seconds
Article 326: 7.87 seconds
Article 327: 18.91 seconds
Article 328: 5.56 seconds
Article 329: 9.31 seconds
Article 330: 19.16 seconds
Article 331: 22.50 seconds
Article 332: 16.96 seconds
Article 333: 4.74 seconds
Article 334: 13.67 seconds
Article 335: 8.02 seconds
Article 336: 5.32 seconds
Article 337: 5.04 seconds
Article 338: 9.71 seconds
Article 339: 14.93 seconds
Article 340: 6.76 seconds
Article 341: 6.25 seconds
Article 342: 21.62 seconds
Article 343: 2.67 seconds
Article 344: 0.00 seconds
Article 345: 7.54 seconds
Article 346: 23.06 seconds
Article 347: 0.00 seconds
Article 348: 10.84 seconds
Article 349: 4.05 seconds
Article 350: 25.96 seconds
Article 351: 10.98 seconds
Article 352: 0.00 seconds
Article 353: 10.83 seconds
Article 354: 0.00 seconds
Article 355: 0.00 seconds
Article 356: 1.58 seconds
Article 357: 11.13 seconds
Article 358: 13.41 seconds
Article 359: 8.99 seconds
Article 360: 22.21 seconds
Article 361: 0.00 seconds
Article 362: 22.12 seconds
Article 363: 19.94 seconds
Article 364: 14.48 seconds
Article 365: 24.83 seconds
Article 366: 16.50 seconds
Article 367: 11.26 seconds
Article 368: 19.19 seconds
Article 369: 9.92 seconds
Article 370: 9.70 seconds
Article 371: 19.99 seconds
Article 372: 10.62 seconds
Article 373: 15.31 seconds
Article 374: 0.00 seconds
Article 375: 19.92 seconds
Article 376: 6.05 seconds
Article 377: 10.84 seconds
Article 378: 11.81 seconds
Article 379: 19.91 seconds
Article 380: 19.69 seconds
Article 381: 7.18 seconds
Article 382: 6.19 seconds
Article 383: 0.00 seconds
Article 384: 12.85 seconds
Article 385: 1.59 seconds
Article 386: 1.43 seconds
Article 387: 6.05 seconds
Article 388: 24.32 seconds
Article 389: 11.98 seconds
Article 390: 16.59 seconds
Article 391: 12.13 seconds
Article 392: 23.75 seconds
Article 393: 25.93 seconds
Article 394: 0.00 seconds
Article 395: 0.00 seconds
Article 396: 20.74 seconds
Article 397: 11.00 seconds
Article 398: 21.35 seconds
Article 399: 33.68 seconds
Article 400: 6.56 seconds
Article 401: 20.37 seconds
Article 402: 13.40 seconds
Article 403: 37.24 seconds
Article 404: 6.63 seconds
Article 405: 18.58 seconds
Article 406: 10.05 seconds
Article 407: 3.55 seconds
Article 408: 0.04 seconds
Article 409: 24.12 seconds
Article 410: 0.00 seconds
Article 411: 7.80 seconds
Article 412: 15.84 seconds
Article 413: 19.84 seconds
Article 414: 26.74 seconds
Article 415: 4.71 seconds
Article 416: 19.52 seconds
Article 417: 7.22 seconds
Article 418: 24.39 seconds
Article 419: 1.01 seconds
Article 420: 11.71 seconds
Article 421: 16.10 seconds
