Model: mistral_7binstruct
Dataset: SAMSum.json
Temperature: 2.1
Total inference time: 20169.02 seconds
Average inference time per article: 8.3 seconds
Inference times per article:
Article 1: 11.04 seconds
Article 2: 2.44 seconds
Article 3: 6.5 seconds
Article 4: 13.13 seconds
Article 5: 9.10 seconds
Article 6: 10.65 seconds
Article 7: 3.76 seconds
Article 8: 15.63 seconds
Article 9: 6.55 seconds
Article 10: 32.96 seconds
Article 11: 8.59 seconds
Article 12: 15.01 seconds
Article 13: 22.06 seconds
Article 14: 2.89 seconds
Article 15: 23.10 seconds
Article 16: 12.32 seconds
Article 17: 22.97 seconds
Article 18: 6.15 seconds
Article 19: 3.12 seconds
Article 20: 17.14 seconds
Article 21: 16.33 seconds
Article 22: 3.72 seconds
Article 23: 9.10 seconds
Article 24: 13.36 seconds
Article 25: 15.90 seconds
Article 26: 1.65 seconds
Article 27: 2.56 seconds
Article 28: 3.19 seconds
Article 29: 2.99 seconds
Article 30: 2.97 seconds
Article 31: 17.50 seconds
Article 32: 13.64 seconds
Article 33: 3.65 seconds
Article 34: 2.24 seconds
Article 35: 11.78 seconds
Article 36: 2.15 seconds
Article 37: 2.44 seconds
Article 38: 3.50 seconds
Article 39: 8.99 seconds
Article 40: 2.85 seconds
Article 41: 22.64 seconds
Article 42: 14.79 seconds
Article 43: 18.39 seconds
Article 44: 1.52 seconds
Article 45: 1.22 seconds
Article 46: 18.37 seconds
Article 47: 2.06 seconds
Article 48: 25.48 seconds
Article 49: 22.00 seconds
Article 50: 22.85 seconds
Article 51: 9.78 seconds
Article 52: 2.26 seconds
Article 53: 8.09 seconds
Article 54: 7.66 seconds
Article 55: 26.70 seconds
Article 56: 21.47 seconds
Article 57: 6.16 seconds
Article 58: 28.94 seconds
Article 59: 6.85 seconds
Article 60: 3.16 seconds
Article 61: 15.02 seconds
Article 62: 12.14 seconds
Article 63: 6.29 seconds
Article 64: 9.06 seconds
Article 65: 5.17 seconds
Article 66: 13.72 seconds
Article 67: 2.91 seconds
Article 68: 11.79 seconds
Article 69: 22.07 seconds
Article 70: 2.21 seconds
Article 71: 8.30 seconds
Article 72: 21.65 seconds
Article 73: 1.48 seconds
Article 74: 8.62 seconds
Article 75: 1.51 seconds
Article 76: 17.37 seconds
Article 77: 3.30 seconds
Article 78: 22.03 seconds
Article 79: 11.18 seconds
Article 80: 4.50 seconds
Article 81: 2.87 seconds
Article 82: 13.87 seconds
Article 83: 3.38 seconds
Article 84: 2.87 seconds
Article 85: 4.33 seconds
Article 86: 8.89 seconds
Article 87: 29.28 seconds
Article 88: 12.25 seconds
Article 89: 9.63 seconds
Article 90: 1.80 seconds
Article 91: 6.37 seconds
Article 92: 2.86 seconds
Article 93: 3.14 seconds
Article 94: 6.44 seconds
Article 95: 9.14 seconds
Article 96: 13.10 seconds
Article 97: 3.67 seconds
Article 98: 27.09 seconds
Article 99: 5.48 seconds
Article 100: 2.36 seconds
Article 101: 2.11 seconds
Article 102: 21.50 seconds
Article 103: 37.77 seconds
Article 104: 3.12 seconds
Article 105: 18.68 seconds
Article 106: 3.39 seconds
Article 107: 12.52 seconds
Article 108: 16.99 seconds
Article 109: 17.16 seconds
Article 110: 8.14 seconds
Article 111: 2.36 seconds
Article 112: 14.04 seconds
Article 113: 4.77 seconds
Article 114: 2.04 seconds
Article 115: 1.70 seconds
Article 116: 12.24 seconds
Article 117: 7.02 seconds
Article 118: 15.32 seconds
Article 119: 4.72 seconds
Article 120: 12.47 seconds
Article 121: 4.22 seconds
Article 122: 2.64 seconds
Article 123: 25.30 seconds
Article 124: 19.16 seconds
Article 125: 13.60 seconds
Article 126: 16.35 seconds
Article 127: 12.81 seconds
Article 128: 4.18 seconds
Article 129: 11.06 seconds
Article 130: 13.66 seconds
Article 131: 5.35 seconds
Article 132: 2.21 seconds
Article 133: 3.39 seconds
Article 134: 12.09 seconds
Article 135: 25.88 seconds
Article 136: 3.02 seconds
Article 137: 17.17 seconds
Article 138: 1.83 seconds
Article 139: 31.22 seconds
Article 140: 2.75 seconds
Article 141: 22.87 seconds
Article 142: 28.42 seconds
Article 143: 8.48 seconds
Article 144: 2.75 seconds
Article 145: 2.21 seconds
Article 146: 3.10 seconds
Article 147: 3.51 seconds
Article 148: 12.54 seconds
Article 149: 15.06 seconds
Article 150: 1.82 seconds
Article 151: 2.97 seconds
Article 152: 29.86 seconds
Article 153: 12.98 seconds
Article 154: 19.71 seconds
Article 155: 6.22 seconds
Article 156: 3.51 seconds
Article 157: 2.74 seconds
Article 158: 7.99 seconds
Article 159: 24.24 seconds
Article 160: 2.47 seconds
Article 161: 2.86 seconds
Article 162: 7.10 seconds
Article 163: 3.75 seconds
Article 164: 1.97 seconds
Article 165: 31.41 seconds
Article 166: 1.42 seconds
Article 167: 8.17 seconds
Article 168: 9.00 seconds
Article 169: 1.38 seconds
Article 170: 16.00 seconds
Article 171: 3.25 seconds
Article 172: 18.64 seconds
Article 173: 4.93 seconds
Article 174: 3.88 seconds
Article 175: 22.36 seconds
Article 176: 11.65 seconds
Article 177: 6.92 seconds
Article 178: 22.79 seconds
Article 179: 12.26 seconds
Article 180: 5.24 seconds
Article 181: 11.95 seconds
Article 182: 7.64 seconds
Article 183: 18.25 seconds
Article 184: 2.89 seconds
Article 185: 2.08 seconds
Article 186: 2.46 seconds
Article 187: 6.33 seconds
Article 188: 16.28 seconds
Article 189: 5.43 seconds
Article 190: 9.23 seconds
Article 191: 5.95 seconds
Article 192: 4.98 seconds
Article 193: 12.16 seconds
Article 194: 12.19 seconds
Article 195: 3.53 seconds
Article 196: 2.84 seconds
Article 197: 2.16 seconds
Article 198: 1.75 seconds
Article 199: 13.16 seconds
Article 200: 7.10 seconds
Article 201: 18.55 seconds
Article 202: 26.93 seconds
Article 203: 3.55 seconds
Article 204: 1.40 seconds
Article 205: 12.55 seconds
Article 206: 18.92 seconds
Article 207: 19.43 seconds
Article 208: 9.34 seconds
Article 209: 9.37 seconds
Article 210: 12.84 seconds
Article 211: 12.60 seconds
Article 212: 6.62 seconds
Article 213: 18.88 seconds
Article 214: 19.33 seconds
Article 215: 8.09 seconds
Article 216: 6.62 seconds
Article 217: 5.40 seconds
Article 218: 3.07 seconds
Article 219: 12.22 seconds
Article 220: 12.54 seconds
Article 221: 2.84 seconds
Article 222: 14.15 seconds
Article 223: 9.74 seconds
Article 224: 16.94 seconds
Article 225: 12.24 seconds
Article 226: 21.84 seconds
Article 227: 26.28 seconds
Article 228: 17.57 seconds
Article 229: 2.13 seconds
Article 230: 4.63 seconds
Article 231: 2.47 seconds
Article 232: 11.68 seconds
Article 233: 24.68 seconds
Article 234: 25.84 seconds
Article 235: 3.48 seconds
