Model: Mixtral-8x7B-Instruct
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 31482.17 seconds
Average inference time per article: 15.4 seconds
Inference times per article:
Article 1: 21.08 seconds
Article 2: 17.59 seconds
Article 3: 3.52 seconds
Article 4: 7.47 seconds
Article 5: 3.70 seconds
Article 6: 16.26 seconds
Article 7: 13.53 seconds
Article 8: 12.38 seconds
Article 9: 3.83 seconds
Article 10: 18.08 seconds
Article 11: 26.36 seconds
Article 12: 24.98 seconds
Article 13: 12.15 seconds
Article 14: 8.89 seconds
Article 15: 2.44 seconds
Article 16: 7.42 seconds
Article 17: 27.06 seconds
Article 18: 14.40 seconds
Article 19: 14.84 seconds
Article 20: 15.24 seconds
Article 21: 31.80 seconds
Article 22: 31.04 seconds
Article 23: 32.56 seconds
Article 24: 21.14 seconds
Article 25: 17.98 seconds
Article 26: 4.27 seconds
Article 27: 37.94 seconds
Article 28: 4.61 seconds
Article 29: 15.92 seconds
Article 30: 30.37 seconds
Article 31: 7.90 seconds
Article 32: 7.99 seconds
Article 33: 33.02 seconds
Article 34: 33.39 seconds
Article 35: 0.30 seconds
Article 36: 15.65 seconds
Article 37: 27.83 seconds
Article 38: 21.37 seconds
Article 39: 27.38 seconds
Article 40: 31.71 seconds
Article 41: 25.89 seconds
Article 42: 22.01 seconds
Article 43: 20.36 seconds
Article 44: 16.83 seconds
Article 45: 23.05 seconds
Article 46: 12.87 seconds
Article 47: 19.41 seconds
Article 48: 12.18 seconds
Article 49: 42.88 seconds
Article 50: 10.49 seconds
Article 51: 25.34 seconds
Article 52: 12.87 seconds
Article 53: 24.94 seconds
Article 54: 27.78 seconds
Article 55: 33.69 seconds
Article 56: 10.17 seconds
Article 57: 1.21 seconds
Article 58: 3.45 seconds
Article 59: 2.56 seconds
Article 60: 29.02 seconds
Article 61: 14.22 seconds
Article 62: 24.27 seconds
Article 63: 0.59 seconds
Article 64: 26.01 seconds
Article 65: 10.06 seconds
Article 66: 17.93 seconds
Article 67: 5.36 seconds
Article 68: 14.47 seconds
Article 69: 5.33 seconds
Article 70: 14.43 seconds
Article 71: 5.10 seconds
Article 72: 22.98 seconds
Article 73: 40.65 seconds
Article 74: 16.98 seconds
Article 75: 18.39 seconds
Article 76: 6.80 seconds
Article 77: 30.27 seconds
Article 78: 9.42 seconds
Article 79: 1.48 seconds
Article 80: 21.21 seconds
Article 81: 19.23 seconds
Article 82: 3.58 seconds
Article 83: 8.46 seconds
Article 84: 21.74 seconds
Article 85: 22.26 seconds
Article 86: 12.44 seconds
Article 87: 1.73 seconds
Article 88: 14.44 seconds
Article 89: 10.13 seconds
Article 90: 26.63 seconds
Article 91: 23.00 seconds
Article 92: 26.73 seconds
Article 93: 6.33 seconds
Article 94: 23.70 seconds
Article 95: 13.44 seconds
Article 96: 12.16 seconds
Article 97: 9.09 seconds
Article 98: 1.56 seconds
Article 99: 8.14 seconds
Article 100: 35.23 seconds
Article 101: 8.92 seconds
Article 102: 33.13 seconds
Article 103: 23.72 seconds
Article 104: 14.67 seconds
Article 105: 21.90 seconds
Article 106: 22.29 seconds
Article 107: 11.97 seconds
Article 108: 16.00 seconds
Article 109: 13.29 seconds
Article 110: 25.21 seconds
Article 111: 8.72 seconds
Article 112: 19.92 seconds
Article 113: 28.66 seconds
Article 114: 16.89 seconds
Article 115: 5.40 seconds
Article 116: 21.81 seconds
Article 117: 17.17 seconds
Article 118: 10.49 seconds
Article 119: 15.17 seconds
Article 120: 6.67 seconds
Article 121: 21.88 seconds
Article 122: 23.04 seconds
Article 123: 26.73 seconds
Article 124: 5.95 seconds
Article 125: 21.17 seconds
Article 126: 18.56 seconds
Article 127: 6.86 seconds
Article 128: 30.86 seconds
Article 129: 18.09 seconds
Article 130: 8.31 seconds
Article 131: 14.40 seconds
Article 132: 18.89 seconds
Article 133: 3.49 seconds
Article 134: 16.46 seconds
Article 135: 21.28 seconds
Article 136: 16.51 seconds
Article 137: 10.32 seconds
Article 138: 21.63 seconds
Article 139: 21.91 seconds
Article 140: 9.64 seconds
Article 141: 15.14 seconds
Article 142: 21.29 seconds
Article 143: 24.68 seconds
Article 144: 18.14 seconds
Article 145: 9.67 seconds
Article 146: 1.13 seconds
Article 147: 20.21 seconds
Article 148: 21.95 seconds
Article 149: 30.96 seconds
Article 150: 21.54 seconds
Article 151: 4.34 seconds
Article 152: 33.37 seconds
Article 153: 1.01 seconds
Article 154: 22.62 seconds
Article 155: 16.47 seconds
Article 156: 27.86 seconds
Article 157: 8.72 seconds
Article 158: 13.07 seconds
Article 159: 12.35 seconds
Article 160: 5.60 seconds
Article 161: 25.45 seconds
Article 162: 2.81 seconds
Article 163: 3.48 seconds
Article 164: 4.94 seconds
Article 165: 17.96 seconds
Article 166: 17.91 seconds
Article 167: 8.00 seconds
Article 168: 14.09 seconds
Article 169: 9.69 seconds
Article 170: 6.86 seconds
Article 171: 16.39 seconds
Article 172: 5.89 seconds
Article 173: 0.96 seconds
Article 174: 3.20 seconds
Article 175: 18.89 seconds
Article 176: 2.79 seconds
Article 177: 26.95 seconds
Article 178: 10.06 seconds
Article 179: 17.99 seconds
Article 180: 7.62 seconds
Article 181: 10.41 seconds
Article 182: 2.09 seconds
Article 183: 13.87 seconds
Article 184: 11.55 seconds
Article 185: 18.54 seconds
Article 186: 13.22 seconds
Article 187: 11.50 seconds
Article 188: 9.89 seconds
Article 189: 15.47 seconds
Article 190: 10.63 seconds
Article 191: 11.30 seconds
Article 192: 9.29 seconds
Article 193: 8.51 seconds
Article 194: 3.67 seconds
Article 195: 31.21 seconds
Article 196: 2.71 seconds
Article 197: 28.19 seconds
Article 198: 15.78 seconds
Article 199: 14.99 seconds
Article 200: 10.13 seconds
Article 201: 25.84 seconds
Article 202: 16.28 seconds
Article 203: 12.20 seconds
Article 204: 21.16 seconds
Article 205: 16.01 seconds
Article 206: 2.27 seconds
Article 207: 16.07 seconds
Article 208: 19.16 seconds
Article 209: 14.13 seconds
Article 210: 3.55 seconds
Article 211: 3.97 seconds
Article 212: 20.36 seconds
Article 213: 25.09 seconds
Article 214: 17.05 seconds
Article 215: 11.93 seconds
Article 216: 18.62 seconds
Article 217: 11.79 seconds
Article 218: 4.86 seconds
Article 219: 29.30 seconds
Article 220: 21.81 seconds
Article 221: 17.76 seconds
Article 222: 15.46 seconds
Article 223: 40.71 seconds
Article 224: 35.31 seconds
Article 225: 13.91 seconds
Article 226: 22.33 seconds
Article 227: 27.84 seconds
Article 228: 24.80 seconds
Article 229: 1.13 seconds
Article 230: 33.64 seconds
Article 231: 8.32 seconds
Article 232: 22.03 seconds
Article 233: 21.76 seconds
Article 234: 5.92 seconds
Article 235: 15.22 seconds
Article 236: 16.71 seconds
Article 237: 18.59 seconds
Article 238: 16.18 seconds
Article 239: 1.54 seconds
Article 240: 29.28 seconds
Article 241: 23.01 seconds
Article 242: 15.60 seconds
Article 243: 7.76 seconds
Article 244: 25.61 seconds
Article 245: 29.61 seconds
Article 246: 11.65 seconds
Article 247: 16.19 seconds
Article 248: 15.46 seconds
Article 249: 9.38 seconds
Article 250: 7.56 seconds
Article 251: 7.01 seconds
Article 252: 13.06 seconds
Article 253: 15.62 seconds
Article 254: 25.22 seconds
Article 255: 16.51 seconds
Article 256: 19.39 seconds
Article 257: 17.26 seconds
Article 258: 12.14 seconds
Article 259: 7.82 seconds
Article 260: 19.48 seconds
Article 261: 19.27 seconds
Article 262: 11.71 seconds
Article 263: 3.29 seconds
Article 264: 19.41 seconds
Article 265: 10.37 seconds
Article 266: 25.86 seconds
Article 267: 35.31 seconds
Article 268: 10.07 seconds
Article 269: 16.72 seconds
Article 270: 8.09 seconds
Article 271: 2.24 seconds
Article 272: 22.25 seconds
Article 273: 4.16 seconds
Article 274: 24.40 seconds
Article 275: 3.42 seconds
Article 276: 3.69 seconds
Article 277: 12.84 seconds
Article 278: 39.20 seconds
Article 279: 12.31 seconds
Article 280: 27.39 seconds
Article 281: 27.11 seconds
Article 282: 18.30 seconds
Article 283: 17.83 seconds
Article 284: 16.77 seconds
Article 285: 2.00 seconds
Article 286: 11.93 seconds
Article 287: 39.81 seconds
Article 288: 18.41 seconds
Article 289: 2.30 seconds
Article 290: 6.37 seconds
Article 291: 5.50 seconds
Article 292: 17.40 seconds
Article 293: 16.27 seconds
Article 294: 2.85 seconds
Article 295: 13.12 seconds
Article 296: 31.12 seconds
Article 297: 9.36 seconds
Article 298: 6.28 seconds
Article 299: 15.00 seconds
Article 300: 17.61 seconds
Article 301: 19.08 seconds
Article 302: 16.54 seconds
Article 303: 31.03 seconds
Article 304: 7.14 seconds
Article 305: 1.61 seconds
Article 306: 13.13 seconds
Article 307: 24.92 seconds
Article 308: 22.22 seconds
Article 309: 19.41 seconds
Article 310: 27.87 seconds
Article 311: 38.73 seconds
Article 312: 10.41 seconds
Article 313: 23.05 seconds
Article 314: 17.99 seconds
Article 315: 29.98 seconds
Article 316: 14.16 seconds
Article 317: 0.31 seconds
Article 318: 13.63 seconds
Article 319: 10.41 seconds
Article 320: 10.82 seconds
Article 321: 27.62 seconds
Article 322: 7.65 seconds
Article 323: 4.40 seconds
Article 324: 3.58 seconds
Article 325: 8.82 seconds
Article 326: 20.59 seconds
Article 327: 26.69 seconds
Article 328: 21.07 seconds
Article 329: 2.67 seconds
Article 330: 8.51 seconds
Article 331: 25.36 seconds
Article 332: 3.04 seconds
Article 333: 6.29 seconds
Article 334: 11.73 seconds
Article 335: 18.35 seconds
Article 336: 16.01 seconds
Article 337: 25.64 seconds
Article 338: 11.10 seconds
Article 339: 23.01 seconds
Article 340: 1.98 seconds
Article 341: 10.14 seconds
Article 342: 15.12 seconds
Article 343: 30.37 seconds
Article 344: 12.11 seconds
Article 345: 13.45 seconds
Article 346: 0.95 seconds
Article 347: 21.65 seconds
Article 348: 14.58 seconds
Article 349: 10.37 seconds
Article 350: 11.29 seconds
Article 351: 2.53 seconds
Article 352: 30.46 seconds
Article 353: 3.57 seconds
Article 354: 5.96 seconds
Article 355: 8.62 seconds
Article 356: 2.26 seconds
Article 357: 9.82 seconds
Article 358: 31.90 seconds
Article 359: 32.99 seconds
Article 360: 6.82 seconds
Article 361: 37.64 seconds
Article 362: 12.91 seconds
Article 363: 38.31 seconds
Article 364: 10.49 seconds
Article 365: 1.93 seconds
Article 366: 14.22 seconds
Article 367: 39.30 seconds
Article 368: 15.88 seconds
Article 369: 17.61 seconds
Article 370: 11.48 seconds
Article 371: 22.92 seconds
Article 372: 6.15 seconds
Article 373: 12.87 seconds
Article 374: 17.94 seconds
Article 375: 4.17 seconds
Article 376: 26.93 seconds
Article 377: 7.34 seconds
Article 378: 19.40 seconds
Article 379: 6.80 seconds
Article 380: 27.27 seconds
Article 381: 13.61 seconds
Article 382: 7.72 seconds
Article 383: 31.11 seconds
Article 384: 15.65 seconds
Article 385: 14.76 seconds
Article 386: 8.69 seconds
Article 387: 20.35 seconds
Article 388: 24.51 seconds
Article 389: 29.76 seconds
Article 390: -0.07 seconds
Article 391: 29.88 seconds
Article 392: 29.95 seconds
Article 393: 15.22 seconds
Article 394: 11.44 seconds
Article 395: 14.86 seconds
Article 396: 10.83 seconds
Article 397: 22.96 seconds
Article 398: 6.88 seconds
Article 399: 8.90 seconds
Article 400: 20.38 seconds
Article 401: 24.87 seconds
Article 402: 6.35 seconds
Article 403: 26.91 seconds
Article 404: 21.51 seconds
Article 405: 4.22 seconds
Article 406: 15.20 seconds
Article 407: 17.78 seconds
Article 408: 9.06 seconds
Article 409: 16.40 seconds
Article 410: 9.30 seconds
Article 411: 14.71 seconds
Article 412: 16.75 seconds
Article 413: 24.52 seconds
Article 414: 0.90 seconds
Article 415: 26.44 seconds
Article 416: 23.03 seconds
Article 417: 17.62 seconds
Article 418: 6.24 seconds
Article 419: 22.41 seconds
Article 420: 10.01 seconds
Article 421: 14.07 seconds
Article 422: 1.23 seconds
Article 423: 21.25 seconds
Article 424: 6.16 seconds
Article 425: 23.54 seconds
Article 426: 15.76 seconds
Article 427: 37.55 seconds
Article 428: 16.99 seconds
Article 429: 17.62 seconds
Article 430: 6.52 seconds
Article 431: 4.18 seconds
Article 432: 14.51 seconds
Article 433: 7.37 seconds
Article 434: 7.91 seconds
Article 435: 18.25 seconds
Article 436: 18.54 seconds
Article 437: 3.06 seconds
Article 438: 30.49 seconds
Article 439: 24.93 seconds
Article 440: 15.22 seconds
Article 441: 25.09 seconds
Article 442: 27.39 seconds
Article 443: 2.76 seconds
Article 444: 20.06 seconds
Article 445: 19.11 seconds
Article 446: 10.98 seconds
Article 447: 7.62 seconds
Article 448: 12.32 seconds
Article 449: 11.79 seconds
Article 450: 2.97 seconds
Article 451: 13.96 seconds
Article 452: 24.51 seconds
Article 453: 11.90 seconds
Article 454: 6.30 seconds
Article 455: 15.76 seconds
Article 456: 17.91 seconds
Article 457: 23.81 seconds
Article 458: 6.94 seconds
Article 459: 9.88 seconds
Article 460: 11.75 seconds
Article 461: 26.26 seconds
Article 462: 11.16 seconds
Article 463: 11.72 seconds
Article 464: 12.17 seconds
Article 465: 21.06 seconds
Article 466: 34.58 seconds
Article 467: 20.27 seconds
Article 468: 13.44 seconds
Article 469: 14.61 seconds
Article 470: 14.40 seconds
Article 471: 0.43 seconds
Article 472: 16.94 seconds
Article 473: 17.22 seconds
Article 474: 14.01 seconds
Article 475: 31.27 seconds
Article 476: 24.39 seconds
Article 477: 20.95 seconds
Article 478: 13.76 seconds
Article 479: 22.20 seconds
Article 480: 27.52 seconds
Article 481: 2.93 seconds
Article 482: 11.58 seconds
Article 483: 14.84 seconds
Article 484: 13.79 seconds
Article 485: 2.05 seconds
Article 486: 7.10 seconds
Article 487: 15.94 seconds
Article 488: 21.38 seconds
Article 489: 17.55 seconds
Article 490: 12.35 seconds
Article 491: 0.81 seconds
Article 492: 26.41 seconds
Article 493: 2.25 seconds
Article 494: 4.79 seconds
Article 495: 17.09 seconds
Article 496: 34.09 seconds
Article 497: 20.85 seconds
Article 498: 8.56 seconds
Article 499: 12.70 seconds
Article 500: 2.22 seconds
Article 501: 3.07 seconds
Article 502: 32.41 seconds
Article 503: 2.45 seconds
Article 504: 6.98 seconds
Article 505: 24.94 seconds
Article 506: 28.07 seconds
Article 507: 19.65 seconds
Article 508: 32.34 seconds
Article 509: 16.62 seconds
Article 510: 1.73 seconds
Article 511: 40.28 seconds
Article 512: 3.42 seconds
Article 513: 15.88 seconds
Article 514: 9.90 seconds
Article 515: 2.65 seconds
Article 516: 9.28 seconds
Article 517: 15.04 seconds
Article 518: 4.33 seconds
Article 519: 2.49 seconds
Article 520: 23.82 seconds
Article 521: 8.13 seconds
Article 522: 18.43 seconds
Article 523: 2.76 seconds
Article 524: 11.84 seconds
Article 525: 3.26 seconds
Article 526: 10.05 seconds
Article 527: 23.68 seconds
Article 528: 20.16 seconds
Article 529: 24.86 seconds
Article 530: 7.66 seconds
Article 531: 5.44 seconds
Article 532: 36.15 seconds
Article 533: 13.64 seconds
Article 534: 23.23 seconds
Article 535: 23.92 seconds
Article 536: 22.37 seconds
Article 537: 31.04 seconds
Article 538: 12.88 seconds
Article 539: 24.54 seconds
Article 540: 32.76 seconds
Article 541: 17.72 seconds
Article 542: 17.27 seconds
Article 543: 4.52 seconds
Article 544: 12.76 seconds
Article 545: 26.57 seconds
Article 546: 7.40 seconds
Article 547: 4.42 seconds
Article 548: 22.13 seconds
Article 549: 18.52 seconds
Article 550: 15.58 seconds
Article 551: 14.92 seconds
Article 552: 19.42 seconds
Article 553: 10.34 seconds
Article 554: 10.65 seconds
Article 555: 18.35 seconds
Article 556: 11.97 seconds
Article 557: 13.89 seconds
Article 558: 16.23 seconds
Article 559: 19.65 seconds
